林子祥,[0.40999642]
碟片,[0.10392094]
大招,[0.18654072]
ktv,[0.1627335]
男人,[0.0042575]
时候,[-0.30109584]
街头,[0.51981413]
大爷,[0.10257211]
周海媚,[0.15202475]
港片,[-0.0410905]
音乐,[-0.45300463]
原唱,[0.09755965]
刘青云,[-0.04198318]
港剧,[-0.22301744]
一下子,[0.51244]
广东,[0.52010393]
事假,[-0.08212401]
林真,[0.4826836]
祥叔,[-0.35336468]
经典歌曲,[-0.22849014]
张兆辉,[0.3804383]
林是,[0.41633862]
整首歌,[0.0180561]
激吻,[0.35683867]
陈法蓉,[0.12696958]
棒呆,[-0.40487304]
VCD,[-0.24987213]
假音,[0.16417325]
尽释前嫌,[0.09330459]
少多,[0.39427924]
进键,[-0.00133186]
人字拖,[0.10989803]
两三句,[0.33492428]
浪子回头,[0.25004792]
周慧敏,[0.22005129]
排除万难,[-0.4200776]
粤语,[-0.40067407]
胡茬,[0.4942006]
真是,[-0.17033362]
冰激凌,[0.19016963]
下午茶,[0.03263519]
装下,[-0.3416346]
林先生,[-0.03042848]
流行歌曲,[0.21393187]
咖啡厅,[-0.11182736]
裤衩,[-0.02931754]
一首歌,[0.02861247]
夜雨,[-0.26516584]
真爱,[0.44484323]
芭蕉扇,[-0.07462887]
装到,[0.0777606]
奋不顾身,[-0.08189388]
断气,[-0.37417734]
迸发,[0.3448276]
十几年来,[-0.17452915]
把玩,[0.40752977]
快进,[0.47030425]
脑海中,[0.42066073]
随时随地,[0.03331286]
盗版,[0.0534429]
恋人,[0.21712992]
很多年,[0.26360792]
红灯,[0.26529607]
满满,[0.2809636]
摇着,[0.43351257]
歌手,[0.22590818]
歌词,[-0.32703614]
二十岁,[-0.00876295]
遥控,[0.45777532]
哗哗,[0.24716274]
破旧,[0.34346104]
听不懂,[-0.1305169]
这首,[-0.39340237]
上身,[-0.2477645]
马路,[-0.13321282]
忧郁,[0.439963]
慎重,[-0.00170177]
融化,[-0.03109805]
歌唱,[-0.01425992]
主演,[0.43947488]
浮现,[0.23418118]
相遇,[0.4007974]
场景,[-0.5051412]
认出,[-0.3402117]
泛滥,[0.44791985]
十几年,[0.03530593]
黎明,[-0.46850592]
静止,[0.20697762]
凭着,[-0.29996195]
其他人,[0.39665106]
画面,[-0.28258237]
透过,[0.38129693]
遗憾,[-0.12235085]
激情,[0.17826687]
女士,[0.21892528]
转动,[0.35512325]
满脸,[-0.17652653]
独自,[-0.46679088]
偶尔,[0.27001566]
分开,[-0.03540639]
听得,[0.08704019]
印象,[0.23515473]
对面,[-0.37071177]
超越,[-0.0554397]
试图,[0.10627554]
经典,[-0.4852312]
小学,[-0.21171618]
玻璃,[-0.38870075]
夏天,[-0.20502594]
全是,[0.50962704]
彼此,[-0.4437445]
全世界,[-0.04217958]
一双,[0.15411943]
优秀,[0.11912699]
可惜,[0.22102907]
穿着,[0.15084834]
评价,[-0.06444165]
想象,[-0.31802946]
东京,[-0.4580501]
眼泪,[0.13475287]
再也,[0.13259181]
一对,[-0.12291051]
内地,[-0.048737]
仿佛,[0.46524596]
渐渐,[0.32579157]
永远,[-0.06043737]
那时,[0.05582421]
符合,[0.21535218]
对方,[-0.11666287]
年轻,[-0.3514709]
竟然,[0.25445372]
手里,[-0.10702017]
一把,[-0.13298377]
香港,[0.19796574]
经历,[-0.08766236]
一眼,[-0.05514904]
找到,[-0.15250234]
担心,[0.30422887]
感觉,[0.2258944]
一个,[0.0895102]
出去,[0.18424019]
简单,[-0.24804917]
别人,[-0.3294398]
多年,[-0.05699258]
第二,[-0.36707595]
回到,[0.11071911]
个人,[0.09265893]
真正,[0.3569432]
