钟无艳,[-0.05975997]
备胎,[0.45653942]
七友,[0.22477135]
林夕,[-0.11884283]
这么,[-0.12766178]
评论,[-0.33402035]
粤语歌,[0.44786063]
女怕,[-0.30200407]
爱里,[0.4853428]
男怕,[0.27050987]
完钟,[-0.41052276]
词来,[0.06747129]
这破歌,[-0.08024301]
事换,[-0.18736096]
听七友,[-0.38912946]
好汉歌,[-0.31630367]
开开心心,[0.47597227]
无艳,[0.3094393]
恶龙,[-0.48530143]
本来,[0.42022148]
喜欢,[0.33333233]
症候群,[0.37486616]
失恋者,[-0.35655138]
别人,[-0.3462095]
推荐,[-0.47621655]
薄情,[-0.2432796]
几百种,[0.11362387]
委曲求全,[0.15193479]
绝交,[0.06106381]
只要,[-0.19113873]
善待,[-0.12406176]
卑微,[-0.38950494]
痴情,[-0.4330947]
淡漠,[-0.04448526]
刺眼,[-0.40446445]
得救,[-0.27836618]
两遍,[0.44569066]
可悲,[-0.1714267]
心酸,[0.20096588]
歌词,[-0.3414327]
血淋淋,[0.22408505]
任性,[-0.40995273]
大抵,[-0.25930294]
总能,[-0.0296204]
浓烈,[-0.3391953]
不会,[-0.12708555]
体贴,[0.3876282]
写实,[0.09019359]
时候,[-0.32590145]
救出,[0.3148774]
深情,[0.16068445]
新大陆,[-0.09574057]
辜负,[0.25785694]
骑士,[-0.3476033]
从没,[-0.18920971]
忠诚,[-0.40564358]
思念,[-0.08644857]
纠缠,[0.11519933]
为啥,[-0.21387027]
温柔,[-0.30472964]
得不到,[0.11710334]
明明,[0.17675775]
形容,[-0.40719718]
没事,[-0.21432453]
公主,[0.4465811]
说不出,[0.32067886]
感激,[-0.31988746]
我会,[-0.26030177]
安慰,[0.32998958]
伤害,[0.02436699]
感受,[-0.09989841]
之处,[0.07277016]
一群,[-0.15115732]
说法,[0.2455719]
从来,[0.42120034]
主动,[-0.06742945]
事实,[0.04995457]
反复,[-0.12422253]
不得不,[0.25571698]
加入,[-0.12097605]
面对,[0.09394389]
昨天,[-0.1869865]
是因为,[0.0904045]
朋友,[0.42401952]
在于,[0.4524643]
所谓,[-0.05944559]
却是,[-0.03713223]
感觉,[0.2117921]
即使,[-0.37213528]
离开,[0.01227918]
过来,[-0.30460253]
还要,[0.00240503]
突然,[0.42156538]
今天,[0.35592246]
后来,[0.40721446]
不要,[0.04527496]
你们,[0.21262375]
应该,[-0.13697398]
一次,[0.4694243]
得到,[0.27327132]
一样,[-0.18659651]
发现,[-0.33512947]
只有,[0.48696148]
所以,[-0.14620686]
一些,[0.06056944]
不能,[0.08010592]
知道,[0.2997664]
这种,[-0.33709186]
这些,[-0.0661341]
认为,[-0.30028656]
就是,[-0.26532954]
什么,[0.47235924]
自己,[0.4616687]
