翻唱,[0.11525963]
粵語,[0.2895061]
一秒,[0.23710729]
评论,[-0.3291127]
网易,[0.10429367]
一生,[-0.19640955]
尊重事实,[0.43698958]
當然,[0.03182775]
廣東歌,[-0.00058332]
疾馳,[0.22214125]
粤语歌,[0.4480442]
驚喜,[-0.25802478]
有木有,[0.1400186]
兩廣關,[-0.33438277]
變成,[-0.37393516]
有時,[0.14695585]
喜歡,[-0.30580127]
之美说,[0.41412494]
覺得,[-0.22458756]
特別,[0.08939699]
我愿,[-0.18630949]
吴奇隆,[0.21449815]
吳奇隆,[0.12177071]
狗带,[-0.36164004]
扑街,[-0.02438759]
不變,[-0.23242289]
这逼装,[0.19187686]
几人留,[0.05594715]
國語,[0.4690341]
許是,[-0.23598015]
壮志凌云,[0.15214185]
粤语,[-0.4109166]
喜欢,[0.34492025]
憨笑,[0.06097185]
难逢,[0.4128194]
原版,[-0.38273963]
首歌,[-0.2805285]
良人,[0.25021636]
中华文化,[-0.38476712]
四爷,[-0.26000553]
看到,[-0.07299415]
祝愿,[-0.4838174]
至极,[0.31983066]
知己,[-0.49561056]
孤单,[0.27453828]
陌生人,[0.32150054]
真心,[-0.00215324]
疲惫,[-0.01277015]
早日,[0.0216998]
不服,[0.2420512]
你好,[-0.18681276]
可爱,[-0.15503092]
几分,[-0.49370596]
可以,[0.14262232]
爱情,[0.10493098]
合适,[-0.3927178]
一个个,[0.4707158]
缓慢,[-0.20077674]
结婚,[-0.41824377]
正好,[0.47310805]
强大,[-0.36749357]
将来,[0.13832638]
不得不,[0.27119112]
是因为,[0.09432567]
听到,[0.35739487]
大学,[-0.1161318]
找到,[-0.15284541]
感觉,[0.2185234]
真的,[-0.11280849]
也许,[-0.4833264]
看着,[-0.4499333]
一句,[0.48231316]
属于,[0.4262795]
原来,[-0.21796344]
如此,[0.13585857]
所有,[-0.47598842]
应该,[-0.13803841]
生活,[-0.21426956]
怎么,[-0.34551114]
因为,[0.13126373]
表示,[-0.02076647]
不是,[0.20358129]
这个,[0.01674633]
自己,[0.4622336]
一个,[0.06704514]
