DUANG,[-0.28478786]
音乐,[-0.4519466]
熊本,[0.45218444]
错过,[-0.10948236]
听歌,[0.20009016]
粤语歌,[0.46141848]
喜欢,[0.35601848]
评论,[-0.31520548]
这么,[-0.11745832]
网易,[0.10564266]
只想,[0.4940297]
父亲,[0.4873503]
感谢,[-0.19380869]
不要,[0.04834513]
奶奶,[0.27230704]
妹妹,[-0.3010772]
周华健,[-0.32716686]
李克勤,[0.4446799]
校长,[0.2716037]
谭咏麟,[-0.37778527]
张国荣,[0.18277784]
摘抄,[0.31125578]
梅艳芳,[-0.02754397]
逛商场,[0.2806594]
黄凯芹,[0.32904533]
徐小凤,[-0.07540153]
叶倩文,[-0.06505429]
权志龙,[0.1874521]
beyond,[0.191582]
喊麦,[-0.35727322]
地流,[-0.11026811]
许冠杰,[-0.4096315]
有天,[-0.4464671]
好羡慕,[0.3796494]
來過,[-0.05295481]
高迪,[0.34809804]
为證,[-0.16123495]
甄妮,[-0.3341515]
迷妹,[-0.05706055]
多后,[-0.38123906]
exo,[-0.2725652]
立評,[-0.23471943]
知道,[0.3085505]
现在,[-0.32538006]
时隔多年,[0.27198344]
王杰,[0.11754853]
单亲家庭,[-0.06893548]
朋友,[0.4314191]
粤语,[-0.40355474]
老歌,[0.43864587]
后妈,[0.4346805]
小伙伴,[0.10718666]
推送,[0.15683924]
流行歌曲,[0.21299097]
天长地久,[0.38173074]
每一寸,[-0.4664501]
歌迷,[0.20173074]
首歌,[-0.27666402]
哪像,[-0.03911848]
他们,[-0.26848954]
信息,[-0.438535]
越做越,[0.35078406]
月工资,[0.25529206]
罗文,[0.28728986]
志同道合,[-0.2685098]
起笔,[-0.35424674]
临时工,[-0.34647226]
心碎,[-0.3454615]
婚纱,[0.3780352]
九十年代,[-0.07007784]
看到,[-0.05378981]
祝愿,[-0.48702958]
架空,[0.4319845]
天理,[-0.02980535]
八十年代,[0.16150948]
你们,[0.22759216]
可比性,[0.41850105]
没完,[0.391525]
熏陶,[0.3735847]
拍照,[0.07418563]
听过,[0.20747374]
发来,[-0.03450843]
歌词,[-0.33297858]
由衷,[-0.21291366]
孤单,[0.28754202]
不经意,[-0.46982458]
国语,[-0.39987972]
单身,[-0.31160283]
发音,[-0.42994717]
唯独,[-0.06601921]
毫不犹豫,[-0.00457857]
好听,[-0.07239056]
意境,[0.14731413]
时候,[-0.32079613]
爱心,[-0.06613769]
已然,[-0.2538839]
止不住,[0.25725615]
一包,[-0.02334492]
歌曲,[-0.06522495]
唱歌,[0.26243365]
哭泣,[0.375724]
小时候,[-0.49047258]
第二年,[-0.42411938]
天王,[0.13218006]
因为,[0.13906041]
商场,[-0.26477644]
寂寞,[-0.14049904]
抚摸,[-0.2851386]
分手,[0.33491874]
肌肤,[0.42195058]
富裕,[0.28834683]
开始,[-0.04333187]
近年,[0.3937211]
看不到,[0.25413594]
感慨,[0.23759909]
美好,[0.20015264]
可爱,[-0.15229209]
公主,[0.45179984]
含义,[0.13518655]
响起,[-0.15899372]
眼中,[-0.13270244]
回复,[0.07673185]
那条,[0.3156323]
碰到,[-0.20946606]
惊讶,[0.07481585]
何时,[0.10968121]
爷爷,[0.40648448]
看过,[0.48325363]
整整,[0.05579985]
长大,[0.14628448]
经典,[-0.48251343]
年轻人,[-0.03094686]
自己,[0.48144773]
韩国,[-0.4665836]
单纯,[0.36307317]
