粤语歌,[0.4456923]
网易,[0.10199638]
音乐,[-0.46095583]
音质,[0.04725798]
歌词,[-0.33661234]
情怀,[0.45462692]
要么,[-0.31494734]
神奇,[0.01869732]
以前,[0.36908856]
觉得,[0.24044944]
流行曲,[-0.4298218]
社会,[0.37363896]
当自强,[0.32765776]
寻梦,[0.04549408]
需要,[-0.39892793]
每首歌,[0.20582686]
四季歌,[-0.46713316]
靓女,[0.2926866]
奸笑,[-0.28253338]
是我太,[0.32326463]
生命,[0.1945329]
天造,[0.32236502]
歌神,[0.10294794]
泪点,[0.1180025]
歌听,[-0.2840865]
事是,[-0.459218]
许冠杰,[-0.41369057]
阿方仔,[-0.13789427]
云多,[0.20858549]
阿圆仔,[-0.22440685]
但用,[0.13748604]
其用,[-0.34304464]
点上,[0.08947465]
还是,[-0.02536135]
这歌,[0.07555426]
新出,[-0.10985063]
每首,[0.09716918]
阿方,[0.21166532]
经常,[0.09407321]
香港,[0.17784144]
粤语,[-0.41308567]
流行歌,[-0.04406447]
大气磅礴,[-0.47852513]
汪涵,[0.47392386]
老套,[0.47604507]
感觉,[0.21276006]
乐坛,[0.12545663]
心高气傲,[-0.36381915]
甘苦,[-0.23993368]
领域,[0.38758108]
皆空,[-0.47069722]
首歌,[-0.28018653]
这个,[0.01837582]
都还没,[-0.15110195]
翻出来,[0.02725698]
红心,[-0.24538821]
来来去去,[0.02333615]
肃然起敬,[-0.0001061]
引人,[-0.13418896]
怀旧,[-0.01495426]
足矣,[0.4711686]
深信不疑,[0.2149387]
声色,[0.00907267]
从小到大,[-0.06951319]
白痴,[0.2858814]
我爱你,[0.4204012]
浮躁,[-0.39603767]
太好,[0.44293064]
然后,[0.34591794]
男儿,[0.35521778]
那个,[-0.4987389]
韵味,[-0.3918369]
中意,[-0.06947198]
听后,[-0.4844557]
懦弱,[-0.02018191]
