卡农,[0.16652957]
版本,[-0.02942596]
分手,[0.31184602]
评论,[-0.3386941]
愿意,[-0.13830476]
乐曲,[0.21909007]
旋律,[-0.13588375]
喜欢,[0.32597336]
孤独,[0.4911926]
女孩子,[-0.22774248]
遥远,[0.29080397]
王力宏,[-0.15898548]
结婚,[-0.42928723]
世界,[-0.2717095]
换句话,[-0.35143745]
距离,[-0.46639812]
想起,[0.30707678]
卢王,[-0.43286812]
我个,[-0.32127607]
APP,[-0.01712638]
有段,[-0.19696152]
曲中,[-0.30023554]
血是,[0.00197793]
卢巧音,[-0.49588415]
卢本伟,[0.39655882]
相念,[-0.5031938]
好心分手,[-0.20064428]
乐手,[-0.41849598]
复调音乐,[0.14537324]
粤语,[-0.42685997]
停不下来,[0.27838638]
总是,[-0.38863003]
一个,[0.04552427]
右上角,[-0.48229465]
欣欣,[0.41591108]
首歌,[-0.28836814]
这个,[-0.0050435]
遥遥无期,[-0.36595348]
沧海桑田,[0.32623678]
安好,[0.0880298]
流言蜚语,[0.01258955]
声部,[0.34275413]
爱着,[-0.10021597]
心碎,[-0.36401284]
婚纱,[0.35237464]
鼓起勇气,[-0.11175036]
我爱你,[0.41707537]
一起,[-0.38431957]
转眼之间,[-0.16125184]
觉得,[0.22840258]
四分之三,[-0.3733044]
打拼,[-0.07091589]
谎言,[-0.31869957]
长到,[0.04480089]
真不知道,[-0.18903668]
抛开,[0.32650858]
听力,[-0.04716689]
表白,[-0.16842037]
上楼,[-0.02332654]
蚊子,[0.13986959]
披上,[-0.25337657]
国语,[-0.43285295]
原意,[0.33774093]
发现,[-0.33445033]
听出,[0.2562738]
技法,[-0.20210485]
没错,[0.19056116]
集结,[0.22973265]
善良,[0.35822278]
大哭,[-0.10905942]
时光,[-0.11287624]
演奏,[-0.42638263]
默默,[-0.3575988]
现在,[-0.345979]
模仿,[-0.16646262]
嫁给,[0.22036031]
写作,[-0.35492802]
委屈,[-0.03198857]
写成,[0.16276127]
很长,[-0.16126287]
象征,[0.41000342]
和谐,[0.27655318]
就是,[-0.2740062]
依次,[-0.5006034]
手法,[-0.38039938]
读书,[-0.16448018]
鼻子,[-0.3955387]
美丽,[-0.38039404]
轨道,[-0.3338414]
已经,[-0.293279]
彼此,[-0.44204974]
原本,[-0.45013538]
幸福,[-0.33073848]
一群,[-0.15913898]
那天,[-0.1406871]
耳朵,[-0.07143863]
音乐,[-0.46697134]
