张国荣,[0.1889319]
首歌,[-0.26648757]
亲亲,[0.22943828]
不要,[0.04330906]
拉阔,[0.14430216]
更爱,[-0.09407393]
爸爸,[-0.02182542]
不过如此,[-0.4231784]
女孩,[-0.42658865]
洁身自爱,[-0.0272842]
错词,[-0.46249986]
画面感,[-0.17876942]
荧光棒,[0.40688354]
哥哥,[-0.47496417]
歌单,[-0.41760677]
永远,[-0.05928773]
声线,[-0.21792191]
故事,[0.18997008]
对方,[-0.12475311]
捂脸,[-0.3309139]
这词,[0.01211123]
卖萌,[-0.42620635]
毛舜筠,[0.4753764]
Eason,[-0.04493335]
歌名,[-0.06743961]
当风,[-0.17956556]
处有,[0.4674151]
萌爆,[0.19474149]
这调,[-0.13139562]
杏色,[-0.15589823]
我要,[0.40510675]
荣迷,[-0.237203]
中说,[0.49029687]
这声,[-0.13984036]
抓头,[0.15496823]
你心,[-0.38020074]
投入,[0.3667797]
吐舌,[0.50224125]
每个,[0.4175745]
捡拾,[0.01344203]
胎记,[0.20748061]
喜欢,[0.33987892]
过份,[-0.3439529]
真的,[-0.11006088]
寻人启事,[0.13219346]
一片,[0.37683356]
心灰意懒,[0.25039947]
离开,[0.01234363]
唱功,[-0.23952258]
演唱会,[-0.22891054]
尚好,[-0.10889266]
一首歌,[0.0152006]
来生,[0.13059916]
春夏秋冬,[-0.12419514]
年月日,[-0.10655134]
未归,[0.28101012]
沉迷,[0.26056138]
撕碎,[0.3141265]
左右手,[0.00196178]
冷门,[-0.47281572]
不知,[0.31758085]
吹过,[0.16259226]
十三个,[0.02240309]
没变,[-0.03515853]
脑海中,[0.41621983]
右腿,[0.46851388]
逞强,[-0.44573197]
姓张,[0.2025677]
今生,[0.39891994]
深意,[0.03468106]
访谈,[0.11683321]
西装,[0.10078543]
听过,[0.18652074]
漫天,[-0.06787585]
爱上,[0.22029638]
发怒,[0.29454038]
诠释,[-0.2694519]
痊愈,[0.43119603]
体贴,[0.38772655]
离家,[0.12169527]
这些年来,[-0.14996965]
时候,[-0.332008]
继续,[0.2552717]
歌声,[0.14953424]
一个,[0.08124872]
悲哀,[-0.19284375]
浮现,[0.22047767]
心跳,[0.03098875]
动人,[-0.06738319]
身高,[0.09004951]
无心,[0.16611351]
膝盖,[0.41898596]
唱歌,[0.27514553]
说好,[0.30773857]
没用,[0.16005994]
寂寞,[-0.15156317]
十四年,[-0.09453961]
渡过,[0.38155133]
境界,[0.30918145]
专注,[0.28770253]
现在,[-0.33514747]
睡眠,[0.0457664]
安抚,[-0.06751228]
开车,[0.02635182]
画面,[-0.28637853]
身穿,[-0.04148286]
八个,[0.30958346]
算了,[0.21960603]
传到,[-0.29302737]
做个,[-0.01043794]
侧面,[-0.43540514]
难过,[0.44500846]
这人,[-0.18454762]
完美,[-0.25140274]
好多,[0.50028884]
我会,[-0.25083205]
丝毫,[-0.265526]
无关,[-0.21827908]
就是,[-0.27813664]
姓名,[-0.22332306]
安慰,[0.33899355]
夜晚,[-0.17837258]
晚期,[-0.12221318]
美丽,[-0.37080655]
千万,[-0.2690736]
一颗,[0.13155319]
呼吸,[0.17584887]
温和,[0.1152079]
全世界,[-0.0567459]
明星,[-0.19492535]
耳朵,[-0.05100105]
抬头,[0.49537176]
一根,[0.3282505]
