听听,[0.10752148]
哥哥,[-0.4548691]
首歌,[-0.27711874]
华人,[-5.781632e-05]
感觉,[0.21848907]
一首歌,[0.02813003]
年代,[0.09488093]
粉丝,[0.27507564]
这首,[-0.38973883]
好听,[-0.07568654]
歌曲,[-0.0812121]
目前为止,[0.04298076]
魅力,[-0.42465803]
温柔,[-0.29788008]
没有,[0.47003266]
特别,[-0.2323925]
很多歌,[0.4596073]
韩国,[-0.46470076]
一百遍,[0.16731389]
航天城,[0.240633]
张国荣,[0.19254564]
冰糕,[-0.00446098]
前程锦绣,[0.05339599]
生有幸,[-0.27264518]
美而悲,[0.46748438]
小沙丘,[-0.12880805]
只觉,[-0.4386288]
摸冰枣,[-0.35626706]
侯斯顿,[0.41794482]
韩星,[0.18592381]
Leslie,[-0.19775072]
吉言,[0.1930333]
距离感,[-0.46041295]
集于一身,[0.43454102]
喜欢,[0.34880635]
好像,[0.23157255]
霸王别姬,[-0.30258998]
韩日,[-0.29964915]
记取,[0.09333988]
低吟,[0.27947336]
荒岛,[0.21972845]
时代背景,[-0.19521916]
壁纸,[0.39279348]
低语,[0.4090946]
几首,[-0.3220545]
意犹未尽,[0.44112423]
冷门,[-0.46957248]
分心,[0.21886462]
吹奏,[0.5006065]
沾染,[0.48883963]
未来,[-0.41495064]
红茶,[0.03902784]
漫游,[0.05301969]
花草,[0.37299025]
万千,[-0.2807536]
冷酷,[0.46577153]
铃声,[-0.3209564]
歌词,[-0.334386]
唱片,[-0.36502945]
孤单,[0.27391312]
听来,[0.2999475]
发芽,[-0.11138016]
那句,[0.42398003]
男朋友,[0.30685458]
薄薄的,[-0.03538859]
过时,[-0.09215914]
陪伴,[-0.4803033]
不会,[-0.12118831]
发音,[-0.43174627]
最爱,[0.38502625]
真切,[-0.31976792]
扬起,[-0.22145808]
曲子,[0.0093468]
美妙,[0.04710151]
直到现在,[-0.05299991]
风沙,[0.35715488]
风吹,[0.16009733]
沉浸,[0.09779203]
一个,[0.0762931]
冰箱,[0.27947497]
一定,[0.29109508]
有种,[0.20021355]
获奖,[-0.11991306]
好似,[0.2445226]
骄傲,[0.13273178]
时间,[-0.4264387]
不得了,[0.37512428]
还有,[-0.45116517]
还是,[-0.02333557]
心底,[-0.1656004]
千里,[0.09463175]
模仿,[-0.14498955]
传奇,[0.01752197]
最具,[0.38341835]
耳边,[0.03323453]
少女,[0.09905683]
成为,[0.44224545]
星期,[0.17266375]
有过,[-0.35040084]
不好意思,[0.07517359]
完美,[-0.24645334]
亲切,[0.11735997]
人气,[-0.03568165]
纪念,[-0.4265083]
谢谢,[-0.11312205]
不下,[-0.12728512]
我会,[-0.2549833]
味道,[-0.18636347]
丝毫,[-0.26238716]
无关,[-0.21155632]
就是,[-0.2625095]
什么,[0.48821694]
午后,[0.31136367]
没人,[0.04000504]
想要,[0.23190658]
般的,[0.40119946]
无数,[0.3767113]
一辈子,[0.02054151]
评价,[-0.06631703]
明星,[-0.19717543]
身后,[0.41126144]
收到,[0.11532431]
电影,[0.4834531]
培养,[0.24453844]
简直,[0.21808887]
之所以,[0.34865233]
到处,[0.2829161]
记录,[0.24129432]
