首歌,[-0.29095122]
红茶,[0.00788993]
午后,[0.2906734]
喜欢,[0.32041425]
这首,[-0.41344512]
歌曲,[-0.09976199]
独来独往,[0.40406704]
音乐,[-0.5030792]
友善,[0.07073779]
哥哥,[-0.4810805]
其实,[0.31118268]
一杯,[-0.352959]
就是,[-0.27827698]
听厌,[0.07523712]
感情,[-0.35837534]
张国荣,[0.16312115]
歌会,[0.15995224]
单曲,[-0.23136638]
素过,[-0.33100173]
人往,[-0.04337759]
歌里,[-0.3409978]
车来,[-0.11952415]
我知,[0.02817497]
top,[-0.39602473]
侯斯顿,[0.3973501]
地想,[-0.23646958]
红牛,[-0.10011899]
铁粉,[0.33653918]
类型,[-0.47568318]
不是,[0.18306345]
压箱底,[0.12721038]
之恋,[-0.09363491]
越轨,[-0.15287346]
屋面,[0.05372008]
不安分,[0.41379502]
惊艳,[-0.15163542]
上瘾,[0.03868586]
不羁,[0.25472412]
意犹未尽,[0.42337972]
活过来,[0.19687653]
片段,[0.2568578]
恩爱,[0.4369199]
大家,[-0.47806963]
待人,[0.41180384]
习惯性,[0.1496028]
中意,[-0.08757341]
甚至,[-0.41210204]
吹来,[0.00496243]
最后,[-0.2593211]
生活,[-0.23850225]
微风,[0.48119783]
歌手,[0.20340574]
歌词,[-0.3539574]
男生,[-0.38287345]
一直,[0.0624772]
阳台,[-0.42039785]
归宿,[-0.38238332]
马路上,[-0.348804]
钢筋,[-0.18536095]
恍然大悟,[0.30293694]
淡淡的,[-0.32053933]
修养,[0.02048138]
好听,[-0.08592743]
怀念,[0.19014509]
风吹,[0.1485063]
歌声,[0.14227414]
女生,[0.42640007]
平淡,[0.03554703]
一定,[0.28385717]
确是,[0.13108996]
心跳,[0.01999672]
工地,[0.20383194]
一些,[0.05040751]
混凝土,[0.08679295]
知道,[0.28330508]
刚好,[-0.05951791]
明明,[0.17256609]
难过,[0.4374029]
念头,[-0.4742604]
技巧,[-0.45428717]
眼中,[-0.16191827]
有时候,[0.13564067]
偶尔,[0.23244756]
看起来,[-0.11899807]
性格,[0.36497712]
不妨,[0.20417568]
外边,[0.1930816]
小学,[-0.225793]
表演,[0.08692097]
呼吸,[0.16198905]
而已,[-0.10484222]
耳朵,[-0.06915724]
循环,[0.0419767]
算是,[0.10664541]
平时,[0.07046253]
享受,[-0.100244]
记得,[0.2423512]
老师,[-0.22001459]
太阳,[-0.34871012]
高兴,[0.3795131]
值得,[0.11191352]
日子,[-0.25901613]
自由,[-0.19120702]
当年,[0.43200895]
最好,[-0.12137438]
经历,[-0.10905479]
总是,[-0.38847005]
感觉,[0.1917802]
意义,[-0.4937269]
别人,[-0.37379727]
坐在,[0.41286007]
正常,[-0.38087517]
大部分,[0.41871825]
看着,[-0.47611487]
然而,[-0.37745515]
有所,[-0.1887146]
说明,[-0.1624459]
不到,[-0.18304685]
为什么,[0.10275479]
并且,[-0.16847996]
领导,[0.2640885]
希望,[0.29926625]
而是,[0.2720116]
告诉,[-0.44444853]
能够,[0.0516841]
事情,[0.31501073]
看到,[-0.09695329]
很多,[0.40057254]
觉得,[0.23644881]
那些,[0.20394254]
特别,[-0.24429952]
决定,[-0.08173806]
这么,[-0.13923955]
有些,[-0.0380423]
为了,[0.2195598]
表现,[-0.14010486]
一样,[-0.19488493]
地方,[-0.34360132]
之后,[-0.26146075]
所以,[-0.15539959]
但是,[-0.2882433]
还有,[-0.4741851]
现在,[-0.351538]
开始,[-0.07290415]
这样,[-0.16483828]
什么,[0.47324502]
没有,[0.44787264]
一个,[0.05176347]
