奶茶,[0.29714468]
粤语歌,[0.44942912]
宏愿,[0.08024445]
死心,[-0.21609513]
初恋,[-0.23429482]
无表情,[0.0022247]
店里,[0.16195583]
打工,[0.28681237]
肩膀,[-0.24975765]
然后,[0.34418353]
评论,[-0.32870167]
回头,[-0.20286107]
历劫,[0.15163797]
小混混,[0.29367825]
醒觉,[0.38250977]
不了,[-0.33360726]
地涌,[0.11419707]
一听心,[0.16012026]
他来,[-0.1681864]
听够,[0.35657984]
每一字,[0.36215183]
三人游,[0.0496726]
听宏原,[-0.18884134]
地望,[-0.27320665]
我面,[0.452749]
至肯,[-0.30168808]
她面,[-0.1524393]
柏豪,[0.14013393]
我张,[0.20547986]
访客,[-0.03304584]
朋友,[0.43110305]
店长,[0.23780611]
一眼,[-0.0691995]
喜欢,[0.33884287]
心痒,[-0.03052542]
备胎,[0.4579889]
首歌,[-0.27762148]
几多,[-0.22011742]
退烧,[0.10979237]
心扉,[0.43601978]
发不出,[-0.4498982]
今天,[0.36022127]
买好,[-0.04190595]
内伤,[0.13733517]
干涩,[0.16393094]
枯死,[-0.17453495]
坦率,[0.07440678]
当得,[0.2255222]
钟爱,[0.41016403]
风起云涌,[-0.1505159]
仅仅只是,[-0.15317608]
通宵,[0.32671008]
收场,[-0.23298967]
低潮,[0.10315111]
一震,[0.22481972]
之歌,[-0.00954482]
口罩,[0.00219818]
男朋友,[0.30189538]
绿茶,[-0.35801017]
录取,[-0.40618756]
低下头,[0.37279326]
打扰,[-0.2756478]
出来,[0.38417843]
好听,[-0.07644805]
外加,[0.2480229]
这是,[-0.30486697]
敞开,[-0.48499584]
网易,[0.09686859]
爱心,[-0.07177954]
高调,[-0.3451104]
戴上,[0.02347528]
张嘴,[-0.46488264]
大哭,[-0.09196616]
孤独,[0.49356046]
无声,[-0.12672405]
喉咙,[-0.4241653]
默默,[-0.3538723]
浪费,[-0.261948]
帽子,[0.24831073]
怎么回事,[-0.33512414]
落到,[0.10335014]
听听,[0.09342947]
感谢,[-0.21805753]
别说,[0.09361728]
响起,[-0.16594875]
推开,[0.46289733]
何时,[0.10217758]
后悔,[-0.1850959]
一杯,[-0.33878827]
内心,[-0.30255875]
手上,[-0.32821944]
沉默,[-0.2513989]
六年,[-0.3310204]
杂志,[-0.32500297]
我们,[-0.30743715]
可惜,[0.20607454]
追求,[-0.08975293]
每次,[0.12855032]
网友,[0.41049707]
抓住,[-0.09726029]
记录,[0.22690205]
正好,[0.4681285]
为何,[-0.48684475]
心情,[-0.00280148]
慢慢,[-0.279295]
广东,[0.4931765]
没有,[0.46003035]
早已,[-0.07101643]
唯一,[0.06213848]
上周,[0.1365616]
大学,[-0.11863061]
认识,[-0.45086735]
真是,[-0.17699225]
别人,[-0.349422]
