山鸡,[0.14850378]
古惑仔,[-0.2633289]
浩南,[0.08609826]
保护费,[-0.20495217]
首歌,[-0.29207698]
老爸,[-0.27332726]
前奏,[-0.40198684]
高年级,[0.39490178]
响起,[-0.17147821]
大哥,[0.02105593]
青龙,[0.05499438]
时候,[-0.33678067]
感觉,[0.19617207]
回来,[0.39449966]
来回,[0.45313656]
释小龙,[-0.17456906]
碟片,[0.07176193]
火拼,[-0.24415131]
永远,[-0.0821111]
想起,[0.30808485]
陈浩南,[-0.3568181]
龙五,[0.19351766]
帮浩南,[0.32653108]
看不完,[0.13913177]
集一,[0.27798694]
一众,[-0.493586]
但浩南,[-0.27341315]
真迷,[0.2757608]
洪兴,[-0.16435304]
人正为,[0.11865409]
郝邵文,[-0.4471945]
根烟,[-0.3594129]
脑补出,[-0.09997931]
我收,[-0.20044865]
十辆,[-0.00086267]
街角,[-0.20450772]
威龙,[-0.06989578]
小伙伴,[0.07890049]
带坏,[0.29757476]
李连杰,[-0.48986623]
逃学,[0.17191118]
雷锋,[0.4218606]
歌迷,[0.17296416]
纹身,[-0.14994296]
成龙,[0.30194616]
煎饼,[-0.04115416]
太有,[0.2724551]
休战,[-0.503161]
找过,[0.47540447]
硬生生,[-0.50883794]
愁闷,[-0.04396567]
后来,[0.3955105]
冷冷的,[-0.46038395]
齐刷刷,[0.2366604]
打火机,[-0.21522802]
友情,[-0.44003084]
火锅,[0.24057831]
无助,[0.10726046]
黑乎乎,[0.4143336]
班主任,[-0.10475504]
凝望,[-0.22428492]
一无所有,[-0.37300482]
耳机,[-0.35463998]
一代人,[0.40819165]
扔给,[-0.27701843]
电影院,[-0.4118866]
穿梭,[-0.34880078]
男生,[-0.3884639]
动感,[0.33544666]
八卦,[0.24786317]
不见得,[0.39281705]
曲调,[-0.04373832]
手表,[-0.18009128]
改成,[-0.26665825]
初中,[-0.04996009]
关上,[-0.4004328]
戴着,[-0.13347612]
为啥,[-0.23345345]
店里,[0.15730695]
开心,[0.20083381]
小时候,[-0.5025445]
报仇,[-0.403363]
僵尸,[-0.2729655]
向着,[-0.20997289]
知道,[0.27812448]
那块,[-0.36757296]
绳子,[-0.45055273]
街头,[0.48087898]
岁月,[-0.22159885]
监狱,[-0.22302838]
好人,[-0.13607058]
开始,[-0.073832]
屋子,[-0.3002713]
幻想,[0.21247059]
怎么回事,[-0.3502713]
广告,[0.29479915]
大众,[-0.13506219]
小组,[0.40831]
同学,[-0.17968161]
这个,[-7.1260525e-05]
老子,[0.21221077]
一行,[-0.28043658]
小学,[-0.22474986]
创立,[0.25007707]
一辈子,[0.0090165]
为首,[-0.30693734]
