再见,[0.2240124]
流泪,[0.5033346]
游戏,[-0.4680476]
有缘,[-0.14466938]
目送,[0.03646069]
没有,[0.4661584]
大哭,[-0.07014631]
亚服,[0.48876435]
决赛圈,[-0.42737406]
再聚,[0.34835634]
我们,[-0.2974376]
各奔东西,[-0.11146136]
兄弟,[-0.00185454]
大学,[-0.1141659]
大四,[-0.3770287]
那些,[0.21329945]
相聚,[-0.11150742]
那句,[0.42198685]
这首,[-0.39015025]
珍惜,[-0.2390156]
离开,[0.01154253]
希望,[0.31066582]
没事,[-0.21131451]
回忆,[0.27913553]
我会,[-0.26077673]
一起,[-0.36031574]
一个,[0.07353902]
舍友,[-0.28864363]
那么,[-0.07116549]
分离,[0.29251122]
感情,[-0.34040004]
想起,[0.32063428]
不淡,[0.45174843]
小學,[0.27309912]
主播,[0.23812781]
散伙饭,[-0.4893532]
张震岳,[0.47542062]
搜会,[0.21224996]
同學,[-0.18492721]
重遇,[-0.14076194]
人唱,[0.04903643]
某年,[-0.26791584]
today,[-0.12177795]
电竞,[0.3666155]
聚會,[0.36313295]
各奔前程,[0.26923752]
即将,[-0.25211054]
室友,[-0.4390342]
毕业论文,[-0.19402573]
大一,[0.34046522]
不是,[0.20736621]
相信,[0.12858334]
真的,[-0.11883126]
远点,[-0.23923098]
依然,[0.05516742]
大吉大利,[-0.38207355]
再读,[0.115688]
无暇顾及,[0.48918703]
临别,[-0.387387]
拳法,[-0.47042325]
点点滴滴,[0.28494933]
毕业证,[0.14061522]
一天,[0.2588894]
首歌,[-0.280648]
别离,[-0.49598798]
可以,[0.13829811]
寒假,[0.1423467]
再好不过,[0.35693654]
压力,[-0.07476362]
流眼泪,[-0.18923186]
依依不舍,[0.40865186]
今天,[0.36015996]
刻骨铭心,[-0.41718993]
辆车,[0.2322343]
淡忘,[-0.41826606]
谩骂,[0.03387484]
外挂,[0.05587955]
不舍,[-0.10957858]
暑假,[0.42334273]
谎言,[-0.3102532]
你们,[0.21893455]
感伤,[-0.40132827]
最美,[0.29652226]
感人,[-0.02640747]
生活,[-0.21318893]
说得好,[0.1192997]
一晚,[-0.40804705]
多好,[-0.15063709]
初三,[-0.3120328]
差一点,[0.44192693]
玩耍,[0.2816161]
绝地,[0.17009673]
承载,[-0.47441524]
想念,[0.22276014]
陌生人,[0.32027307]
以后,[-0.29172838]
怀念,[0.19998778]
每每,[0.4635758]
前程,[0.19474436]
纯洁,[0.0724638]
平淡,[0.04067706]
歌唱,[-0.01965624]
迫不及待,[0.00641664]
伤感,[0.11737044]
顾虑,[-0.2848049]
出声,[0.07509119]
高中,[0.14303282]
善良,[0.372358]
寂寞,[-0.1587904]
