林忆莲,[-0.09202503]
国语版,[-0.0965992]
王菲,[0.35489488]
答谢,[-0.28081068]
好听,[-0.07815876]
失踪,[-0.3847687]
对不起,[-0.28007662]
从来,[0.42066163]
到度,[-0.26244038]
越大越,[-0.00033279]
美过,[-0.00420564]
粤语版,[-0.1099598]
这歌,[0.07091608]
一件,[-0.18985792]
粤语,[-0.41034475]
早安,[-0.04938449]
太美,[-0.2957472]
首歌,[-0.282913]
声音,[-0.34871867]
未眠,[0.28943127]
女声,[0.26450375]
不像话,[0.18983698]
亲亲,[0.20043245]
春光,[0.33966938]
明媚,[-0.3069665]
此生,[-0.36310282]
张敬轩,[-0.17005742]
八点,[0.2472105]
失恋,[-0.2059065]
坦荡,[0.07009519]
盛夏,[-0.40827322]
暧昧,[-0.3682346]
说说话,[0.10777154]
缠绵,[0.17117779]
多情,[-0.39034185]
歌词,[-0.33749112]
句句,[-0.22414337]
国语,[-0.4127746]
心境,[0.36096558]
两件事,[0.12870102]
最爱,[0.38589767]
不同,[0.00715785]
迷人,[0.0615405]
断断续续,[-0.04493784]
气力,[-0.3850098]
爱心,[-0.06619894]
截然不同,[0.4872283]
手腕,[-0.05001582]
一个,[0.06615348]
聊天,[0.37483737]
运气,[-0.09917819]
起床,[-0.2520501]
时光,[-0.10696424]
早早,[0.2534362]
端的,[-0.04010187]
呕吐,[0.42185524]
放开,[0.2148199]
一共,[0.3733542]
昨晚,[-0.06808507]
上班,[0.08084722]
谢谢,[-0.11935374]
自我,[-0.08864609]
早上,[0.4431607]
言语,[0.3259924]
夜里,[-0.46557885]
一夜,[-0.01491311]
罢了,[0.38358426]
几句,[-0.08831888]
想象,[-0.33895987]
再也,[0.10980473]
人数,[-0.18945539]
当天,[-0.4367136]
不必,[0.26575392]
反复,[-0.12651113]
没有,[0.4564978]
回家,[0.15673323]
手机,[-0.19527411]
她们,[-0.11676715]
喜欢,[0.33239084]
相信,[0.12716012]
真的,[-0.11610363]
女人,[0.02291164]
独立,[0.42675728]
一句,[0.4821556]
终于,[0.0582287]
不到,[-0.17050067]
只能,[-0.1347599]
以前,[0.36363485]
明白,[-0.24220088]
除了,[-0.24364427]
其实,[0.32817414]
十分,[0.1987879]
觉得,[0.2368661]
未来,[-0.423971]
应该,[-0.13581927]
一定,[0.28456482]
两个,[0.22597584]
现在,[-0.33610797]
可能,[0.24272121]
