卫兰,[-0.10817748]
听的歌,[-0.24213473]
开心,[0.2218647]
玩游戏,[0.4042923]
缺德,[-0.29641736]
评论,[-0.32786307]
留言,[0.21208063]
网易,[0.10390884]
没人,[0.03781331]
几首歌,[-0.00744083]
挡掉,[-0.00917446]
阿蕾,[0.11383354]
他会,[0.42875996]
卫龙人,[0.4868423]
曲中人,[0.3440976]
喝不醉,[-0.22121485]
人来,[0.29974216]
掐掉,[-0.29779387]
恶趣味,[-0.25249588]
手中,[-0.38488275]
越来越,[0.11629503]
卫生纸,[-0.3305328]
什么,[0.4766869]
搞笑,[0.21227874]
交集,[0.00146753]
看见,[-0.05728921]
表弟,[-0.12329194]
不乐意,[0.49075663]
小朋友,[0.35647303]
大家,[-0.46541357]
觉得,[0.23749524]
买房子,[0.3921835]
说白了,[-0.4116309]
你们,[0.21553336]
中意,[-0.06821847]
这么,[-0.13127838]
三杯,[0.15530872]
堕落,[-0.31004018]
熟练,[0.29434428]
幼儿园,[0.48557177]
这是,[-0.29489565]
只想,[0.48188493]
爱人,[0.08915605]
并不知道,[0.38607985]
抽烟,[0.45825243]
玩笑,[-0.47088575]
孤独,[0.4990466]
半点,[0.11544275]
分手,[0.31454602]
姿势,[-0.09306443]
一首,[-0.30211064]
这样,[-0.15364651]
妹妹,[-0.31368977]
大哥,[0.04941286]
依赖,[0.4468193]
随便,[0.483356]
哥哥,[-0.46512455]
反而,[-0.06008671]
没有,[0.45782244]
成长,[0.43952045]
变成,[0.05353099]
人家,[0.33920184]
别人,[-0.34594056]
一旦,[0.49006084]
共同,[-0.4030691]
希望,[0.31649235]
除了,[-0.24043295]
其实,[0.33168596]
心里,[0.4031463]
告诉,[-0.44701084]
不知,[0.3047924]
一点,[-0.02072792]
可是,[0.13795412]
当时,[0.21001956]
怎么,[-0.34434143]
不会,[-0.12180664]
还是,[-0.02264497]
知道,[0.30212265]
现在,[-0.3374879]
不是,[0.19995731]
我们,[-0.3073478]
一个,[0.0653696]
