失常,[0.152548]
官恩娜,[-0.42968678]
我愿,[-0.18577462]
很棒,[-0.08601803]
喜欢,[0.3277181]
其实,[0.3278561]
一篇,[-0.25753745]
上班,[0.07457242]
信仰,[0.09440605]
容祖儿,[0.43659785]
适合,[0.13018124]
文章,[-0.2050348]
好开心,[0.36092117]
一遍,[0.11361678]
结婚,[-0.41852602]
好好,[0.09017916]
一人,[-0.37439057]
听的歌,[-0.24930269]
听成,[0.07330277]
从头来,[0.00226365]
第五年,[0.42943045]
粤语歌,[0.44997567]
我肯,[0.3948486]
云说,[0.14353299]
idea,[-0.40321618]
靓声,[-0.18358281]
airport,[0.13348]
最凶,[0.0153808]
全情,[-0.29761493]
爱是,[0.39071855]
little,[-0.44343442]
my,[-0.47406965]
爱像,[-0.30664194]
地为,[-0.00369473]
不想,[0.32623938]
暗恋,[-0.0332743]
伴娘,[0.01144801]
自虐,[0.08840712]
一个,[0.0561308]
低到,[0.34860566]
喜糖,[0.27807018]
根本,[-0.15849043]
正常,[-0.36851448]
首歌,[-0.278136]
陪酒,[0.32038552]
年月日,[-0.10253167]
潦草,[0.41576162]
花光,[0.28543898]
心碎,[-0.3429139]
婚纱,[0.3731519]
今天,[0.36534843]
只差,[-0.02368384]
朝夕相处,[-0.17377697]
虔诚地,[-0.2058405]
恭喜,[0.23207892]
揣测,[-0.46352533]
谈恋爱,[-0.24261804]
可耻,[0.07428854]
最后,[-0.2421996]
歌手,[0.2153979]
歌词,[-0.34042847]
结尾,[-0.39285937]
小学生,[-0.35682938]
谈过,[-0.08033362]
想来想去,[0.19588278]
单身,[-0.33043057]
不愧,[0.14204971]
懒得,[0.36363322]
兔子,[0.25928298]
戒指,[0.00605175]
网易,[0.10198367]
继续,[0.25177374]
低调,[-0.18585084]
尘埃,[0.25174055]
两个,[0.22110412]
心意,[-0.03675528]
好比,[0.11790336]
分手,[0.3100216]
开头,[0.4725801]
知道,[0.2969367]
惯性,[0.29223725]
问题,[0.4324216]
婚礼,[0.22925113]
体会,[0.09367615]
精力,[-0.3307098]
辞职,[-0.27786672]
还给,[0.33831033]
擅长,[-0.08679644]
怀孕,[-0.31164226]
伤心,[0.08829444]
女孩,[-0.4481043]
独自,[-0.49120268]
作业,[-0.32405642]
今晚,[-0.15778339]
分歧,[-0.31325775]
敏感,[0.01004242]
依赖,[0.43657228]
沟通,[-0.06081682]
可怜,[0.4140062]
