我爱你,[0.4227477]
斯德哥尔摩,[0.13363206]
爱上,[0.2192813]
综合征,[-0.36572278]
加害人,[0.20369652]
林夕,[-0.10690609]
犯罪者,[0.46694672]
情结,[0.36898863]
淋漓尽致,[0.33197513]
亲吻,[0.3623429]
人质,[-0.32592794]
时候,[-0.31422156]
变态,[0.43520746]
坏人,[-0.08920418]
然而,[-0.3440883]
情感,[0.31261188]
我会,[-0.2534293]
一个,[0.08039516]
含血,[0.34470698]
佩佩,[-0.04099843]
之间,[0.4115682]
脆弱不堪,[0.27785286]
张国荣,[0.18365727]
拖进来,[0.08760516]
毛姆,[-0.291277]
诺顿,[-0.39072582]
做爱时,[-0.4106715]
千帆,[-0.25720403]
以人名,[0.39414415]
逛遍,[-0.05278763]
days,[-0.28780094]
寡义,[0.18367705]
MV,[-0.4800587]
没抱,[-0.48093972]
看尽,[-0.03323239]
变老,[-0.10166883]
头脑空虚,[0.02553933]
带感,[0.02173491]
sm,[0.39098498]
知道,[0.30558604]
绝配,[0.4498868]
占有欲,[0.25452018]
天蝎,[0.36575192]
被害者,[-0.32049158]
自怜,[0.37953582]
悲观主义,[-0.43098855]
喜欢,[0.3337468]
真是,[-0.16978677]
金戈铁马,[-0.155797]
爱上你,[0.27018613]
症候群,[0.3841069]
晚安,[0.15589705]
点开,[-0.40647784]
薄情,[-0.24302253]
心怀鬼胎,[-0.4496654]
二流,[-0.33936834]
首歌,[-0.2785284]
以致于,[0.10913634]
轻佻,[-0.20988868]
嗜血,[-0.2798756]
剪辑,[0.26675677]
底牌,[-0.3181666]
希望,[0.32374597]
一针见血,[0.19200115]
势利,[-0.4521537]
污浊,[0.3926705]
年少,[0.01677855]
货色,[0.03838382]
浪子,[-0.36061153]
不要,[0.04524462]
驯养,[0.45239097]
被害人,[-0.10264665]
终将,[-0.09975814]
成全,[0.1601422]
飓风,[0.38760728]
甚至,[-0.39151424]
最美,[0.30149525]
毁灭性,[-0.42647094]
面纱,[-0.32324484]
浑浊,[-0.43337446]
心甘情愿,[0.50245285]
歌词,[-0.33609292]
毁掉,[0.161741]
产生,[-0.19109756]
阴暗,[-0.4526084]
忧愁,[-0.25466827]
相爱,[0.4405755]
地方,[-0.32445508]
好感,[-0.4431036]
淡淡的,[-0.30922863]
拥抱,[0.4800568]
愚蠢,[0.2691831]
迷人,[0.06658805]
吵架,[0.20962127]
道歉,[0.4201629]
宁愿,[-0.19075933]
下沉,[0.3164637]
悲伤,[0.2885181]
糟糕,[-0.1680694]
两个,[0.22980794]
注释,[0.24828811]
上线,[-0.13995776]
惊恐,[-0.32266963]
气质,[-0.08367179]
庸俗,[0.01643898]
瞬间,[0.11921664]
这种,[-0.33905098]
不快,[0.49593222]
尽力,[0.3649753]
负面,[0.13613589]
欲望,[0.11642882]
沼泽,[0.0595279]
恋爱,[0.04635968]
滋味,[-0.4264765]
面貌,[0.33845925]
反过来,[0.266574]
不堪,[0.30005673]
极度,[-0.10779757]
渴望,[0.3955463]
这些,[-0.06098108]
这样,[-0.1590449]
美好,[0.19501743]
幻想,[0.227401]
超级,[-0.04345385]
处境,[0.0513409]
打败,[-0.09450839]
