赤子,[-0.34531265]
张敬轩,[-0.15765709]
难敌,[0.27698818]
世态,[-0.01548989]
纷扰,[0.33034348]
胸怀,[0.07274475]
丑恶,[-0.19337726]
不吐,[0.32903218]
林夕,[-0.10803807]
懒音,[-0.06453723]
這紛擾,[-0.14141636]
醜惡,[0.4674951]
世態,[-0.01141228]
不快,[0.5064434]
一首,[-0.2992085]
在于,[0.4589113]
灵魂,[-0.2569078]
首歌,[-0.27903172]
演唱会,[-0.24120414]
贴近,[0.19061951]
流泪,[0.50687385]
这么,[-0.13187803]
长句,[-0.15195896]
打扰到,[-0.01336233]
录音室,[-0.12188589]
所以,[-0.14394924]
几十遍,[-0.24811478]
唱红,[-0.20851973]
投缘,[-0.35279095]
泽日生,[-0.43425432]
全删,[-0.18758458]
難敵,[0.41687864]
轩叔发,[-0.4365534]
喉中,[-0.2880233]
轩度,[0.29853535]
人始終,[0.28291157]
胸懷,[-0.37582046]
軒軒,[-0.46267086]
忽近,[-0.39577433]
ins,[0.3424463]
我轩,[-0.0524638]
互斗,[0.03074629]
胸懷難,[-0.18354957]
广州,[0.1751953]
香港,[0.1792415]
粤语,[-0.41185933]
投机取巧,[-0.04200729]
一阵发,[0.06346542]
男声,[0.14898564]
喜欢,[0.32859308]
聊聊天,[-0.4231455]
憨笑,[0.06297813]
真的,[-0.10883963]
二十五个,[0.3187481]
唱出来,[-0.15739463]
饮鸩止渴,[-0.06038542]
中心思想,[0.33315167]
见惯,[-0.40737128]
聊天记录,[0.49038368]
唱的歌,[-0.12277775]
就是,[-0.25919178]
张弛,[0.02087807]
有度,[0.43034458]
唱出,[-0.09694517]
任何,[0.4877198]
互信,[-0.27847168]
来来回回,[-0.09090288]
密友,[-0.23507348]
大调,[-0.13848779]
挂心,[0.30966863]
动听,[-0.09570551]
旅程,[-0.39604542]
生疏,[-0.41519696]
从头到尾,[0.14395036]
卖弄,[-0.4139253]
伴侣,[-0.04162488]
粉丝,[0.2632555]
漫不经心,[-0.37466806]
无数次,[-0.3730643]
摇摆,[-0.22504102]
过山车,[-0.05281547]
一般而言,[-0.09252441]
退缩,[-0.18201014]
吃力,[-0.2889602]
总能,[-0.02632018]
不会,[-0.12943932]
加油,[0.43938854]
敷衍,[-0.07341971]
这首,[-0.392356]
悉数,[-0.25422308]
措辞,[-0.31288236]
刻意,[-0.11165281]
这是,[-0.29833198]
事态,[-0.45700923]
歌唱,[-0.0214433]
斟酌,[-0.12735367]
唱歌,[0.25716817]
生怕,[-0.47540772]
过年,[-0.22083284]
因为,[0.13692163]
充沛,[0.42936918]
小心翼翼,[0.18868996]
尊敬,[0.13156305]
起来,[-0.21903975]
友谊,[-0.18621771]
做成,[0.10028398]
天生,[0.16618495]
总会,[-0.03698071]
还好,[0.00943973]
明明,[0.1804699]
所有人,[0.23444483]
理会,[-0.1011188]
分享,[0.20042859]
例外,[-0.00223124]
对话,[-0.44341147]
无非,[0.22441469]
不下,[-0.12202737]
看过,[0.48709974]
和谐,[0.28312078]
早上,[0.4402771]
打造,[-0.30489343]
安慰,[0.33153704]
一丝,[0.46104783]
例子,[-0.46554542]
无限,[0.4058104]
征服,[-0.15581909]
一夜,[-0.01747388]
春秋,[-0.1652969]
可怕,[-0.13182548]
一口气,[-0.4327823]
答案,[0.1841355]
好好,[0.09676684]
正好,[0.47359535]
正确,[-0.31538272]
道理,[-0.30561373]
秘密,[-0.48341346]
感情,[-0.33585137]
区别,[0.03115011]
方便,[0.39084086]
心理,[0.32770634]
吸引,[-0.1605874]
