TVB,[0.1910394]
悟空,[0.2398656]
西游记,[0.30790314]
生关死劫,[-0.47265422]
改编,[0.0314029]
江华,[0.4984665]
美猴王,[-0.19051611]
原著,[0.14512473]
西经,[-0.3293378]
流泪,[0.49748036]
版本,[-0.0148064]
这部,[0.07964586]
观众,[-0.08658329]
师傅,[0.22639135]
感动,[-0.08779811]
你们,[0.21665327]
经典,[-0.4910366]
角色,[0.10199774]
六小龄童,[-0.11399509]
人生,[0.37434658]
适合,[0.14345598]
普度众生,[-0.22110344]
轻轻,[-0.44289035]
江郎才尽,[-0.30106503]
单曲,[-0.21466817]
尘凡,[0.2094383]
故事,[0.17827964]
早已,[-0.05868376]
背景音乐,[-0.37335658]
封神榜,[0.17833506]
通臂,[0.46821663]
央视版,[-0.2848574]
镜不染,[-0.12217291]
林夕,[-0.10766993]
真帅,[0.46150732]
颂经,[0.28744444]
很虐,[0.4259847]
台又播,[0.26885155]
合指,[-0.40744716]
夕爷,[-0.19841345]
陈浩民,[0.02446225]
难念,[0.2957496]
经字,[0.18478511]
禅意,[0.37951204]
比如,[-0.25623932]
经历,[-0.08889026]
二郎神,[0.3386374]
真真是,[0.04977449]
真的,[-0.11051414]
色相,[0.03576281]
就是,[-0.26105574]
首歌,[-0.28057137]
老几,[-0.10715427]
真正,[0.36774266]
异曲同工,[0.41663614]
其实,[0.33646417]
动容,[-0.01411771]
亲亲,[0.20350423]
我们,[-0.30357885]
之妙,[-0.10773137]
成佛,[0.277194]
千般,[-0.06645189]
拍出,[-0.3430594]
一算,[0.367319]
饰演,[0.23900828]
猿猴,[-0.02826967]
异于,[0.01941974]
仙气,[0.06842219]
一步之遥,[0.05275369]
云海,[0.00888352]
法力,[-0.41452062]
佛学,[0.17265065]
飘飘,[0.13999566]
热泪盈眶,[0.09503645]
温情,[-0.32081255]
洒脱,[0.05770195]
真经,[0.18581839]
争霸,[0.30915853]
圣僧,[0.26727816]
心动,[0.08522872]
泪流满面,[0.30450422]
寓意,[0.42843485]
猪八戒,[-0.07278123]
翻腾,[-0.28918847]
白衣,[-0.12250609]
传承,[-0.43227866]
袈裟,[0.10225727]
佛祖,[0.2106586]
孙悟空,[-0.06469503]
这首,[-0.3918159]
扬起,[-0.22166182]
意境,[0.13923508]
极好,[-0.18337443]
编剧,[-0.35952634]
时候,[-0.3215218]
打动,[0.48596182]
爱心,[-0.06817829]
典范,[-0.05193594]
师兄,[-0.2234392]
爱好,[-0.20594575]
伤感,[0.11613625]
真心,[-0.00577368]
取经,[0.34717703]
师徒,[-0.49389726]
讨厌,[0.09804136]
