前奏,[-0.38203055]
留言,[0.21170276]
评论,[-0.33689755]
自己,[0.4651071]
喜欢,[0.3333844]
恋爱,[0.04322391]
可爱,[-0.15856344]
有口无心,[0.31066698]
心情,[0.00079148]
理解,[0.24275172]
靈魂,[0.47308433]
人会,[0.49034902]
出竅,[-0.26867726]
更爱,[-0.09361362]
评论者,[0.23693821]
跑得慢,[0.2301659]
口是心非,[-0.48976636]
没辙,[-0.43674114]
几秒,[-0.38769576]
首歌,[-0.28522673]
音箱,[-0.07139303]
可以,[0.13631076]
深爱,[0.30515146]
希望,[0.30821103]
我们,[-0.3078378]
每台,[0.13376369]
心碎,[-0.3501419]
着迷,[-0.11185057]
网吧,[0.45432258]
知音,[0.14448075]
看客,[-0.43328953]
卑微,[-0.39150134]
说白了,[-0.41107297]
博爱,[0.02067652]
亲昵,[-0.11481884]
成全,[0.15075451]
消磨,[-0.3330835]
用钱,[-0.05177802]
感恩,[0.01310781]
各式,[0.4963289]
翻看,[-0.11787136]
不会,[-0.13071024]
不提,[-0.20546556]
长辈,[0.45276582]
礼貌,[-0.32254797]
装作,[-0.09044608]
触动,[0.35024956]
虚拟,[-0.1199994]
公交,[0.2996374]
过得,[-0.15521917]
停产,[0.44430122]
带给,[0.4028204]
无需,[-0.03679362]
垃圾,[0.22906555]
还是,[-0.03116938]
传奇,[0.01526654]
所有人,[0.22566822]
姿态,[-0.20442148]
亲戚,[0.06987007]
情感,[0.30071267]
电脑,[0.27134663]
之心,[-0.3068066]
回复,[0.06816507]
哪怕,[-0.2558511]
尊重,[0.31292328]
安慰,[0.33328897]
什么,[0.47210154]
丧失,[-0.44408908]
有意,[-0.27934644]
家人,[0.06026851]
伟大,[0.00142272]
循环,[0.03744498]
结婚,[-0.4284545]
奇怪,[-0.23291878]
感情,[-0.3347097]
一份,[-0.05562553]
平台,[0.19277772]
寻找,[0.42175692]
两人,[0.26061824]
究竟,[0.19316113]
怎样,[-0.08248027]
愿意,[-0.12953216]
对象,[-0.29233912]
经常,[0.08999015]
每天,[0.08799481]
本身,[-0.27626756]
一个,[0.06599433]
有点,[-0.31771094]
也许,[-0.48659635]
容易,[0.20307817]
过来,[-0.30247462]
解决,[-0.30914494]
声音,[-0.35168016]
其实,[0.3276894]
能力,[-0.17421716]
事情,[0.3276569]
不要,[0.04710636]
觉得,[0.23766997]
可是,[0.13417326]
特别,[-0.23764111]
表现,[-0.13758236]
之间,[0.4130188]
怎么,[-0.3445774]
之后,[-0.24188775]
只是,[0.3184855]
