憨笑,[0.06205433]
首歌,[-0.27669153]
希望,[0.3130729]
自愿,[-0.23009644]
女孩,[-0.4397804]
就是,[-0.26609164]
有些,[-0.02699745]
李宗盛,[-0.39200655]
爱情,[0.1072416]
一百分,[-0.2500372]
结婚,[-0.42200342]
十年,[0.164653]
林忆莲,[-0.08205062]
十年如一日,[-0.23484968]
父母,[0.34216315]
感情,[-0.33158913]
坦荡荡,[0.00696489]
最烈,[-0.210099]
zxf,[-0.3443818]
再苦,[0.41833436]
我要,[0.40349567]
不是,[0.20718057]
一个,[0.06440985]
泪流,[0.04499228]
顺其自然,[0.41305998]
转瞬,[-0.02006063]
结痂,[0.04746266]
自作自受,[0.36292747]
重蹈覆辙,[0.45715177]
说辞,[-0.10801758]
来说,[0.10536423]
迷上,[-0.33163786]
回不去,[-0.3846988]
别无选择,[-0.00803352]
问心无愧,[0.06304203]
一切,[0.48800802]
感触,[0.1609185]
终有,[0.07556694]
年少,[0.01766196]
不要,[0.04841477]
我爱你,[0.4199944]
那个,[-0.49852133]
鏖战,[0.4621531]
善恶,[-0.39968485]
方知,[0.00602704]
看淡,[0.4717597]
最后,[-0.2440042]
第一句,[-0.21028045]
漩涡,[-0.36394414]
忘不了,[0.3523197]
留住,[0.0606471]
听懂,[-0.26067585]
一样,[-0.18668112]
对于,[0.02195129]
争辩,[0.08554135]
不留,[0.20857069]
创伤,[0.4371241]
悲伤,[0.28664303]
伤感,[0.11534592]
真心,[-0.00258653]
再见,[0.2194804]
杯酒,[0.41913083]
同等,[0.11130761]
往前走,[-0.0659617]
开头,[0.48000622]
往事,[0.47155756]
如果,[0.36120135]
手势,[0.38820106]
抛弃,[-0.42773318]
望望,[0.49440396]
追问,[-0.11261543]
礼物,[-0.2097244]
只会,[0.22469704]
复合,[-0.32193363]
记住,[0.07518955]
绝望,[0.11978842]
回忆,[0.28257558]
收获,[0.38345823]
这天,[-0.13018689]
我会,[-0.25598946]
付出,[0.38952672]
婚姻,[-0.4927003]
不易,[0.16538389]
抬起,[-0.3015634]
这个,[0.01891312]
什么,[0.47846895]
长大,[0.13931109]
自己,[0.46236792]
平等,[0.14569993]
跟前,[0.38926232]
千万,[-0.2644998]
一辈子,[0.02241154]
幸福,[-0.328716]
一日,[-0.47803548]
我们,[-0.30594748]
开口,[0.33815688]
学会,[0.38095784]
指着,[0.06882529]
陷入,[0.49192256]
很难,[-0.27821335]
好好,[0.09683494]
包含,[-0.40683785]
害怕,[0.02094064]
一生,[-0.19523449]
回头,[-0.19810522]
停止,[0.06644042]
始终,[-0.46850768]
胜利,[0.20442615]
大概,[-0.01805322]
不如,[0.2473774]
