同一个,[0.27945113]
暧昧,[-0.3689661]
eason,[0.32307783]
独白,[0.4413358]
知道,[0.30811992]
一部,[0.02896213]
觉得,[0.23755912]
去过,[0.18595675]
AGA,[-0.04798729]
钟意,[0.25358593]
做紧,[-0.3316262]
真的,[-0.11522953]
地方,[-0.32352436]
有没有,[-0.26701257]
电影,[0.475589]
第一句,[-0.21411642]
遇到,[0.42685235]
世界,[-0.2564055]
喜欢,[0.3330905]
声音,[-0.35438395]
恋爱,[0.04500055]
其实,[0.34142765]
这个,[0.02034471]
别无分店,[0.04484242]
低音炮,[0.25015345]
为何,[-0.4798534]
点解,[-0.4706702]
歌单,[-0.4265264]
只此一家,[0.1010472]
广州中山大学,[0.35604173]
左个,[0.17223844]
陈奕迅,[-0.15667404]
EASON,[0.31892383]
排骨饭,[-0.3603922]
几旧,[0.4803758]
泪点,[0.12745865]
一加,[0.24538036]
男主播,[-0.0276131]
笑位,[0.39172703]
將來,[-0.42615518]
微博,[0.3995106]
Eason,[-0.05213001]
吹哥,[0.37948987]
食左饭,[0.3915671]
笑点,[-0.48419398]
留低,[0.24422465]
讲真,[0.47402108]
叉烧饭,[-0.2873405]
好想哭,[0.24938866]
开左间,[0.02757473]
食紧,[0.42911017]
粤语,[-0.41124696]
这样,[-0.15051474]
听到,[0.36715522]
憨笑,[0.06713468]
点开,[-0.41960463]
变暗,[0.3033924]
根本,[-0.15725935]
宜家,[-0.20527853]
某天,[-0.20826237]
个人,[0.09352753]
同样,[-0.4881987]
首歌,[-0.2812313]
唱功,[-0.2298213]
试过,[-0.12654974]
电影票,[-0.35987577]
女声,[0.2622912]
排骨,[-0.35372037]
红心,[-0.24229714]
惊艳,[-0.12457287]
附近,[0.40882486]
我们,[-0.301811]
很熟,[0.35350993]
突然,[0.42211127]
妈呀,[0.3386595]
激灵,[0.3091036]
锦上添花,[-0.01984041]
知不知道,[0.07942407]
欢笑,[0.15208144]
死命,[0.284619]
同一时间,[0.28752184]
中意,[-0.07236742]
影院,[-0.35730907]
点亮,[0.44217223]
好大,[-0.0239111]
这么久,[0.25991905]
干嘛,[0.15965033]
留住,[0.06129482]
一分钟,[0.31969458]
这首,[-0.3924751]
幸好,[-0.41382653]
磁性,[0.13637434]
播放,[0.23988514]
不看,[-0.4302104]
爱心,[-0.06174487]
一个,[0.06333829]
餐厅,[-0.41707134]
聊天,[0.38010108]
但是,[-0.26329142]
永恒,[0.03229289]
出声,[0.07670495]
随机,[-0.36332056]
深沉,[-0.43029496]
开心,[0.22411905]
搭配,[-0.140132]
果断,[0.42424715]
这种,[-0.33214447]
痛哭,[-0.01931531]
电台,[0.4402274]
骨头,[-0.01848414]
所有人,[0.22934386]
美好,[0.19572757]
本书,[-0.4121828]
完美,[-0.24843721]
好多,[0.4981593]
愿望,[0.44818443]
窗口,[0.19139054]
大笑,[0.03578662]
灯光,[-0.04598179]
营销,[0.19417821]
就是,[-0.26981342]
走过,[0.01184405]
名单,[0.30052435]
读书,[-0.14773484]
可以,[0.14266147]
也好,[0.32178423]
提起,[-0.4742669]
见面,[-0.36796647]
干什么,[0.49558163]
评论,[-0.32722253]
开口,[0.33886778]
随便,[0.48129368]
直至,[0.01531328]
疯狂,[-0.17205368]
适合,[0.13753255]
