本人,[0.29621127]
只是,[0.3209358]
吴哥窟,[0.3162987]
吴雨,[-0.06702917]
真的,[-0.12293677]
其实,[0.32330272]
卑微,[-0.39633182]
喜欢,[0.32917687]
刚好,[-0.04647318]
所有,[-0.48541892]
自己,[0.45569557]
做题,[0.36018586]
往返机票,[-0.46022752]
林夕,[-0.12029511]
满是,[-0.28199008]
为情,[-0.49402857]
下钟,[0.0489052]
歌里,[-0.34468058]
人能,[0.15286882]
无艳,[0.30919257]
毋忘,[-0.2549077]
认识,[-0.45146737]
得了吧,[0.47400162]
专辑,[0.3515372]
来自,[0.3487297]
伤得,[0.12189624]
释怀,[-0.26155716]
过客,[0.3646625]
富士山,[0.2210088]
愚钝,[-0.23587888]
矫情,[0.26998433]
别来无恙,[0.4772388]
明白,[-0.24469435]
座右铭,[0.3644161]
大半夜,[-0.00206114]
撇嘴,[-0.4084909]
振振有词,[-0.09617553]
硬撑,[-0.06393744]
爱着,[-0.10078868]
英雄气概,[-0.03196626]
通透,[-0.21512829]
记忆里,[0.46187562]
见不着,[0.08168379]
驻足,[-0.45380935]
自卑,[0.4113617]
恋情,[-0.10208049]
惦记,[-0.10715342]
那个,[-0.49987867]
加班,[-0.23246668]
没有,[0.4576887]
美景,[-0.00672377]
未尝,[0.03740796]
自负,[-0.2436947]
歌手,[0.2178271]
美食,[-0.17485805]
限期,[-0.37179267]
一如既往,[0.020666]
雷电,[0.00934954]
林黛玉,[0.43293613]
拉扯,[0.21570681]
需要,[-0.41062564]
痛恨,[0.17795573]
假装,[-0.3799065]
网易,[0.09718055]
软弱,[0.37188983]
忍住,[0.34722796]
深情,[0.15661398]
尘埃,[0.24042833]
游荡,[-0.13829431]
爱人,[0.08576265]
宁愿,[-0.19834264]
千万别,[-0.3043139]
思念,[-0.09001063]
解脱,[0.12011174]
无情,[0.15625836]
流亡,[0.2652264]
掩饰,[-0.3687702]
大哭,[-0.0936519]
一闪,[0.39950198]
总有,[0.23598014]
妨碍,[0.11097046]
旅行,[-0.25591806]
精彩,[0.27875128]
注定,[0.19451064]
可知,[-0.49182296]
四处,[0.4610864]
一首,[-0.30540437]
不是,[0.19853131]
遗憾,[-0.13330977]
坚定,[0.2007177]
偏偏,[0.3221768]
借口,[-0.26252955]
游戏,[-0.4727948]
内心,[-0.3056144]
无奈,[-0.11139031]
伟大,[0.00401338]
感受,[-0.09888184]
人生,[0.36541915]
彼此,[-0.44062313]
未必,[0.42394572]
我们,[-0.32170212]
学会,[0.37158594]
当初,[0.44073766]
随时,[-0.43112278]
明日,[0.02428296]
怀疑,[-0.14906964]
从来,[0.4185967]
像是,[0.46021214]
感情,[-0.33727568]
一段,[-0.5008384]
现实,[-0.31671685]
果然,[0.13386409]
几年,[0.19738309]
情绪,[0.1209382]
那种,[0.33082166]
一场,[-0.3059405]
至今,[0.12773685]
怎样,[-0.08057245]
愿意,[-0.14443152]
是不是,[-0.2771148]
朋友,[0.42367083]
在于,[0.45746088]
最好,[-0.11998694]
第一次,[-0.0333106]
难以,[0.02341228]
总是,[-0.39440882]
找到,[-0.16060676]
感觉,[0.21111846]
精神,[-0.49617252]
