冷静,[-0.30565757]
分手,[0.3258321]
啊啊啊,[0.30063528]
女朋友,[-0.04098175]
真的,[-0.10640036]
讨厌,[0.11409587]
然后,[0.34905976]
爱情,[0.10868436]
凡要,[0.43591207]
荧幕,[0.13858344]
祝你幸福,[-0.06963154]
背景音乐,[-0.3741981]
方力申,[-0.41757986]
怄心,[0.47690403]
很替,[0.20851332]
插中头,[-0.31306806]
邓丽欣,[-0.424283]
多火,[-0.06045088]
沉腻,[0.08057441]
人先,[0.47231123]
冷暴力,[0.22975537]
吴雨,[-0.06571117]
现在,[-0.34014305]
这歌,[0.07993935]
当年,[0.44229722]
拖拖拉拉,[-0.21209754]
喜欢,[0.33770218]
谁错,[-0.23970199]
很棒,[-0.08265191]
什么,[0.4842373]
搞笑,[0.21485879]
会想,[-0.42428568]
其实,[0.33857393]
二十分钟,[-0.32268715]
我们,[-0.30115995]
来来回回,[-0.08924045]
不要,[0.04568034]
一下,[-0.19273242]
安全感,[0.04911286]
衷心,[-0.35347134]
你们,[0.21942504]
成全,[0.15768234]
墙边,[-0.43407336]
谈恋爱,[-0.24024205]
情侣,[-0.06118051]
未来,[-0.42058814]
有缘,[-0.13948244]
猜忌,[-0.23844987]
伤痕,[-0.03737101]
干嘛,[0.15976754]
钉子,[0.4457264]
歌词,[-0.33626646]
男生,[-0.37303224]
男朋友,[0.3034855]
相爱,[0.4420789]
不会,[-0.11011796]
最爱,[0.38743114]
相望,[0.05851858]
好久,[0.02027961]
预见,[0.4220387]
只想,[0.4880624]
女生,[0.43005046]
相遇,[0.38288558]
纠缠,[0.11389992]
开心,[0.2259301]
宁可,[-0.17504056]
他俩,[-0.12109167]
羡慕,[-0.36219454]
会合,[0.2481956]
一点点,[0.15478124]
你好,[-0.18467523]
知道,[0.3059459]
舍不得,[0.2161792]
总会,[-0.02253481]
看清,[0.25694993]
勇敢,[-0.21326713]
可爱,[-0.15460797]
狠狠,[-0.2214569]
难过,[0.4498896]
记住,[0.07799838]
有时候,[0.15119694]
偶尔,[0.25554022]
就是,[-0.2643977]
六年,[-0.32926607]
第二个,[0.50530636]
这句,[0.06041792]
罢了,[0.39182457]
彼此,[-0.43609476]
合适,[-0.39180633]
电影,[0.47636122]
忍不住,[-0.23479667]
放弃,[0.11517074]
不够,[0.48741877]
一段时间,[0.24257849]
一生,[-0.1943971]
拒绝,[-0.00160323]
习惯,[0.08541263]
没有,[0.46768722]
永远,[-0.06455924]
想着,[0.19720432]
遇到,[0.42889306]
想起,[0.3245634]
可能性,[-0.40567827]
努力,[-0.21405637]
