偿还,[-0.24200507]
流泪,[0.5082121]
林夕,[-0.12547262]
饮过,[-0.22267067]
零度,[-0.08030619]
红豆,[0.2557438]
从未,[-0.32352468]
一厢,[0.4057156]
风景,[-0.22936785]
下世,[-0.4527143]
天气,[0.14085677]
苦涩,[-0.4144281]
拇指,[0.09275047]
花瓣,[-0.39729074]
拈花,[-0.4844183]
撩动,[-0.31912485]
仿佛,[0.467465]
甜腻,[0.35352364]
人写,[-0.34026054]
之慧,[-0.33212432]
变会,[-0.23768353]
无此,[-0.42915797]
伤春悲秋,[-0.46265188]
粤语版,[-0.11604398]
这层,[-0.3048834]
词太好,[0.330159]
雪和冰,[0.14205272]
钟无艳,[-0.05797614]
中漫舞,[-0.4840438]
饮苦泪,[-0.01797186]
中未,[-0.16786167]
歌名,[-0.06375888]
愿非,[0.0429266]
那绛珠,[0.02710383]
死也瞑目,[0.43566245]
憾事,[0.33998826]
相忘,[-0.38885722]
挥手告别,[-0.25282502]
王菲,[0.35320085]
遥不可及,[0.23428264]
凄清,[0.35282484]
文言文,[0.21107855]
取用,[0.13623369]
虚脱,[-0.28658977]
信佛,[0.33084974]
排比,[-0.08925762]
摘自,[0.24796128]
意象,[-0.13871488]
初见,[0.21567947]
拨动,[-0.3949182]
中选,[-0.31078464]
仙子,[-0.05064131]
如此,[0.13704285]
雪水,[-0.25323933]
所愿,[0.33060586]
刺骨,[-0.21743262]
何意,[0.04496541]
那些,[0.19764021]
如愿以偿,[-0.33219463]
重逢,[-0.40060425]
实现,[0.45796165]
甘露,[-0.13397181]
辛酸,[0.34793115]
晴朗,[0.07003459]
取自,[-0.11663975]
寒意,[0.49924576]
歌词,[-0.34772074]
妄想,[0.20191108]
典故,[0.4635204]
闭着,[0.00772039]
红楼梦,[0.2350067]
那句,[0.42038575]
心境,[0.35607678]
拥抱,[0.48264006]
发现,[-0.3316029]
双臂,[-0.42792144]
腐朽,[-0.04493502]
雪山,[0.3462011]
天才,[0.31528696]
配有,[-0.17017643]
果真,[-0.3816819]
从没,[-0.18376176]
错过,[-0.12760806]
大哭,[-0.09450512]
解开,[0.31606314]
楼下,[0.09071405]
那次,[-0.10312361]
立马,[-0.41133645]
知道,[0.2900439]
心底,[-0.17946467]
困扰,[0.19204298]
抱怨,[-0.46266347]
梦想,[0.04951172]
江湖,[0.1507639]
一首,[-0.30194008]
美好,[0.18846668]
声响,[-0.47043833]
收藏,[-0.45540178]
含义,[0.13067408]
愿望,[0.44783556]
偶然,[0.4831837]
就是,[-0.26678416]
冬天,[0.41496292]
经典,[-0.48835334]
漂亮,[0.25089476]
这句,[0.05683717]
黑暗,[0.2844381]
爱情,[0.10405823]
私人,[0.3807463]
几句,[-0.08701863]
达成,[-0.41948855]
阳光,[-0.07237785]
眼泪,[0.13215886]
为何,[-0.4833776]
前者,[0.40882638]
从来,[0.41945016]
老师,[-0.21897063]
一生,[-0.20004694]
用来,[0.4994749]
地球,[-0.02868904]
一份,[-0.05488899]
没有,[0.4610105]
承认,[-0.37405]
现实,[-0.322605]
大概,[-0.02435857]
眼前,[0.18834709]
故事,[0.17727654]
后者,[0.33420295]
