王菲,[0.3552452]
国语,[-0.40637293]
首歌,[-0.28048193]
粤语,[-0.40829736]
南方人,[-0.09371351]
喜欢,[0.33432505]
幸福,[-0.32444963]
衷心祝福,[-0.08322488]
记得,[0.24755654]
闭馆,[-0.31112254]
奸笑,[-0.28247502]
迷堆,[-0.20859814]
大到,[-0.4693201]
ps,[0.23816788]
听歌,[0.17440714]
人配,[0.4524906]
二词,[0.20733684]
不悔,[0.4499648]
买烟,[0.26784208]
国语版,[-0.0975363]
有个,[0.48386917]
那种,[0.33657676]
便利店,[0.01478795]
挑不出,[-0.26488262]
憨笑,[0.06260654]
真的,[-0.11546987]
单眼皮,[0.16480291]
鉴证,[0.30431825]
别人,[-0.34410563]
很棒,[-0.07961524]
欲罢不能,[0.0047121]
在我心中,[-0.12630786]
大段,[-0.44958404]
慵懒,[-0.4495523]
沉溺,[0.17516093]
有感,[0.35183483]
歌迷,[0.19398355]
哗众取宠,[-0.39684448]
空灵,[-0.44031996]
不屑于,[0.2686359]
扎起,[-0.2113542]
一丝丝,[-0.13887905]
美美,[0.4365099]
不要,[0.04916093]
带点,[-0.20910716]
特别,[-0.23624948]
勇于,[-0.01116297]
洒脱,[0.04873503]
腔调,[0.16342327]
没有,[0.46111795]
酒吧,[0.46494728]
中山大学,[0.29537037]
满不在乎,[0.10273356]
没意思,[0.36270982]
男友,[-0.1481618]
感性,[-0.14326362]
有幸,[0.20524429]
评判,[-0.12246989]
真伪,[-0.3632138]
在乎,[-0.1940677]
总能,[-0.03116812]
放肆,[0.28003722]
不屑,[-0.41510656]
发现,[-0.33497086]
祝福,[-0.16825618]
好听,[-0.0757733]
实录,[0.08538222]
侮辱,[-0.08927691]
歌声,[0.14554183]
一个,[0.07068064]
女生,[0.43056896]
一定,[0.29132771]
悲伤,[0.2896672]
坐标,[0.47983417]
歌曲,[-0.08126836]
不清,[-0.42328766]
写下,[0.37026146]
唱歌,[0.2486007]
孤独,[0.50013834]
细细,[-0.34548163]
牛奶,[0.37147516]
默默,[-0.35209417]
语气,[0.2595206]
恶心,[0.33231917]
面貌,[0.3346445]
精力,[-0.3172506]
称赞,[0.08234636]
勇敢,[-0.21265572]
从不,[-0.13415015]
版本,[-0.01749674]
不是,[0.20660712]
图书馆,[-0.12008114]
完美,[-0.2474907]
纪念,[-0.43370602]
有时候,[0.15649356]
何必,[0.48975724]
味道,[-0.17665413]
几分,[-0.49913025]
以至,[0.07791317]
眼光,[-0.19044922]
欧美,[0.0473101]
自己,[0.46628]
角色,[0.08924179]
可以,[0.1390905]
各有,[0.05112331]
资格,[-0.24245772]
神秘,[-0.2177497]
爱情,[0.10432378]
没什么,[0.24557433]
年纪,[-0.30611625]
缓解,[0.20511982]
描述,[-0.167316]
追求,[-0.08562107]
看法,[-0.33997884]
头发,[-0.28847718]
遭遇,[-0.42897043]
痛苦,[-0.32894552]
感情,[-0.33701745]
文字,[-0.36956227]
广东,[0.4977764]
永远,[-0.06232497]
承认,[-0.37483543]
北方,[0.42657286]
并非,[-0.21187195]
那时,[0.05179485]
年轻,[-0.36324015]
见到,[-0.01611811]
不了,[-0.32221115]
普通,[0.40219352]
愿意,[-0.13313422]
走出,[-0.15934652]
朋友,[0.4268]
确实,[-0.40882015]
变成,[0.05703301]
