黄伟文,[-0.18969686]
首歌,[-0.25690204]
麦当娜,[-0.10563754]
勇气,[0.45522752]
林夕,[-0.09889372]
薛凯琪,[0.42383215]
小姐,[0.35214126]
李维斯,[-0.30381843]
回信,[-0.37468493]
少女,[0.10758644]
喜欢,[0.34054843]
唱功,[-0.2234285]
偷工减料,[-0.29975498]
直白,[0.28472945]
简直,[0.22450458]
功底,[0.5098263]
觉得,[0.2455143]
失恋,[-0.20619993]
答应,[-0.27431637]
歌词,[-0.32530668]
就是,[-0.25172865]
本来,[0.44251022]
先生,[-0.37880808]
还是,[-0.01843209]
大碟,[0.14577456]
现场版,[0.01937578]
爱情,[0.12113313]
每次,[0.1409999]
美梦成真,[0.18063132]
神探,[0.29255512]
十年,[0.16445082]
文学,[-0.48858866]
取巧,[0.19450541]
故事,[0.1883853]
里维斯,[0.34860504]
乐迷,[-0.17569087]
爆红,[-0.26255372]
奇洛,[0.2346094]
Debut,[0.22404414]
气来,[0.17472924]
以圆,[-0.2674201]
Fiona,[0.01171827]
基努,[0.4880806]
齐洛,[-0.4062371]
咬舌,[-0.2750093]
戳心,[-0.05583647]
喘不上,[0.40352973]
去录,[-0.4652195]
坚惠,[0.47673097]
林夕作,[0.2965807]
fiona,[0.31109244]
七友,[0.23461312]
D版,[-0.25262317]
写词,[0.48477766]
叫黎,[0.09974972]
听林夕,[0.25732937]
有个,[0.47494543]
说用,[0.3726733]
点歌台,[0.01179545]
豆蔻年华,[0.43659076]
偏锋,[-0.20101713]
香港,[0.19180396]
熟女,[-0.3297537]
粤语,[-0.40679866]
几封信,[0.37053376]
听到,[0.37797132]
样子,[0.43377054]
位置,[0.21663909]
一个,[0.08689168]
必杀技,[0.4882676]
人间烟火,[0.04574641]
往往,[-0.0037169]
作词,[0.20482595]
假以时日,[0.2326477]
个人,[0.09567176]
用字,[-0.46955335]
一首歌,[0.02674685]
矫情,[0.27815604]
之梦,[-0.46892864]
到极点,[0.2773281]
很多很多,[0.4631879]
年月日,[-0.09883443]
心弦,[0.10604698]
一绝,[0.13384464]
押韵,[0.4372404]
惨不忍睹,[-0.34009877]
字字,[-0.27811593]
写信给,[0.27534312]
痴心,[0.12733702]
不食,[0.19428755]
后来,[0.41345763]
决绝,[0.37950742]
第一张,[-0.22471653]
卑微,[-0.3909805]
没有,[0.46988967]
一次,[0.50257164]
眼巴巴,[-0.28306893]
由不得,[-0.45672256]
录音机,[0.20159626]
歌手,[0.22133091]
自尊,[0.31473804]
情怀,[0.4536465]
满满的,[0.48371345]
口罩,[0.01188341]
听懂,[-0.26925552]
清爽,[-0.24442741]
磁带,[0.17333981]
发音,[-0.433778]
写实,[0.10242731]
打动,[0.48622844]
虽然,[0.29876631]
方面,[-0.1408552]
女生,[0.4299406]
大方,[0.29575297]
两个,[0.23855494]
男孩,[-0.20580894]
唱歌,[0.2510594]
说好,[0.31964287]
骄傲,[0.12709418]
自尽,[0.48882866]
地狱,[0.06067402]
