喜帖,[-0.07561246]
谢安琪,[-0.04059704]
香港,[0.16000871]
首歌,[-0.28580028]
用品,[0.14099154]
老街,[-0.2892692]
一条街,[0.05355553]
新婚,[0.00594058]
选购,[-0.27026504]
怜悯,[0.0876022]
我们,[-0.31587148]
无知,[-0.07246666]
羡慕,[-0.3759805]
一条,[-0.37989128]
一首,[-0.30056867]
印刷,[0.09029527]
纪念,[-0.43698752]
很多,[0.40677142]
好歌,[-0.2212524]
屏保,[0.23398566]
司机,[0.20892788]
二丁,[-0.3291711]
结婚,[-0.43373793]
美词,[-0.14958481]
单曲,[-0.22246358]
此区,[0.27200702]
陈奕迅,[-0.1708682]
爆红,[-0.26839465]
红金,[0.3024792]
我爱过,[0.14133519]
钟无艳,[-0.06310266]
杨千嬅,[0.24991654]
颓垣败,[-0.22497977]
目之于,[0.3204341]
我用,[-0.37445602]
粤语,[-0.41372433]
种过,[0.345207]
感情纠葛,[0.02006105]
晚安,[0.14221577]
回味无穷,[-0.47534797]
乐坛,[0.11847149]
开发,[0.12986837]
梦到,[-0.4410042]
绝世,[0.15446508]
华语,[0.4533918]
牙刷,[-0.31368554]
什么,[0.4676857]
物是人非,[0.16108187]
蹩脚,[-0.21703948]
此曲,[0.3223321]
最终,[0.02127284]
重新,[-0.25627294]
钉子户,[-0.06971925]
四五年,[0.19297571]
吃剩,[0.3046064]
逆境,[0.38702813]
香港政府,[-0.05509787]
敌不过,[0.23940292]
二十二岁,[-0.343209]
全部都是,[-0.02045671]
修得,[0.05289565]
后来,[0.40862775]
立意,[-0.3470762]
无畏,[-0.33167022]
炯炯,[-0.05324831]
情歌,[0.3619539]
坐火车,[0.12049596]
街区,[0.28794882]
一起,[-0.3719932]
动听,[-0.10003443]
觉得,[0.2300219]
拆掉,[-0.07540924]
可是,[0.12466672]
巨轮,[0.09802032]
科普,[-0.43621397]
那个,[-0.50410545]
爸妈,[0.3348338]
这么,[-0.13456665]
衬衣,[-0.22402911]
应该,[-0.14041628]
缘分,[0.4253967]
音韵,[0.14001897]
与其说是,[0.43715787]
忘不了,[0.3510499]
一整天,[-0.12566362]
打车,[0.15836626]
转眼,[-0.34019712]
忘掉,[-0.28801215]
二十岁,[-0.01996432]
听来,[0.2919621]
疏远,[-0.40793252]
奖项,[-0.26611364]
男朋友,[0.3007986]
承载,[-0.48401994]
国语,[-0.41792685]
默契,[-0.27984747]
吞噬,[0.2060388]
好听,[-0.08716366]
美妙,[0.03374837]
成年人,[-0.04340076]
戒指,[-0.00210245]
诉说,[-0.26773518]
如是,[0.4909769]
难看,[0.39175653]
新人,[-0.07448487]
