水瓶座,[-0.44515714]
冰茶,[0.01666469]
水瓶,[0.4390258]
长岛,[0.38402802]
首歌,[-0.27572334]
星座,[-0.45315263]
狮子座,[-0.30751458]
鸡尾酒,[0.01528237]
可惜,[0.20613135]
五种,[-0.02253526]
女孩子,[-0.20923842]
自我,[-0.0835494]
极端,[0.38521212]
性格,[0.37400797]
好歌,[-0.22540095]
不帅,[0.30643448]
哑口,[-0.05491173]
无感,[0.39624277]
百年好合,[0.3828425]
没有,[0.47148645]
名字,[-0.21833241]
合不来,[0.17906664]
林夕,[-0.11532848]
陈奕迅,[-0.15621439]
黄伟文,[-0.19656801]
疯起来,[-0.16373743]
长痛,[-0.13481441]
称其为,[0.2781808]
短痛,[-0.05970469]
逼格,[-0.4405682]
酒劲,[0.43854415]
有个,[0.4914023]
KTV,[0.01999013]
有情人,[0.25346553]
双鱼座,[-0.4497366]
却是,[-0.02737983]
这样,[-0.14956118]
烈性酒,[0.35594013]
清楚,[-0.02865561]
失身,[-0.0993291]
双子座,[-0.24796733]
拨到,[-0.04111568]
歪头,[-0.44351682]
约等于,[-0.3666461]
烈酒,[-0.06986228]
入迷,[-0.40303302]
干坏事,[0.46923965]
绝情,[0.27566347]
耳后,[0.02082761]
城府,[-0.31283668]
软肋,[-0.46674418]
中庸,[0.21572627]
花木兰,[0.416767]
手把,[0.39038038]
搭讪,[-0.25059065]
温顺,[0.1707307]
口感,[-0.29433838]
金牛,[0.22876945]
混在,[0.02034325]
冷酷,[0.47255605]
男孩子,[0.30347487]
沦陷,[0.37912065]
屏幕,[0.38792926]
林黛玉,[0.43893686]
残忍,[0.2500787]
深情,[0.1631741]
看不清,[0.14313735]
心跳,[0.0358643]
歌曲,[-0.07600232]
来历,[-0.44959462]
宁可,[-0.17321372]
情愿,[0.35717615]
一些,[0.07069097]
羡慕,[-0.37177265]
理智,[-0.2188833]
你好,[-0.18651289]
友好,[0.30310354]
这种,[-0.3329046]
负面,[0.13752086]
问问,[0.11865342]
一首,[-0.29713672]
十二,[-0.00545652]
不是,[0.2061572]
盲目,[0.367147]
否定,[-0.3683737]
糊涂,[-0.06501222]
女孩,[-0.4347975]
快乐,[-0.43896714]
味道,[-0.18654847]
无关,[-0.20801967]
早上,[0.4538695]
正面,[0.36101082]
自己,[0.4702358]
可怕,[-0.13202839]
头发,[-0.2920841]
混合,[0.2504791]
而成,[-0.31764582]
上来,[0.32372075]
慢慢,[-0.2783807]
不如,[0.25587797]
常常,[0.34743598]
晚上,[-0.19768824]
专门,[0.12843499]
是不是,[-0.27342498]
意思,[0.03980943]
感觉,[0.21483256]
出去,[0.1657751]
好像,[0.22815117]
