寒舍,[-0.365827]
杨千嬅,[0.24939539]
喜欢,[0.3316906]
一个,[0.0445603]
开心,[0.22437792]
我要,[0.39000553]
真的,[-0.11972386]
发现,[-0.34893087]
还是,[-0.02751193]
舍得,[0.2061137]
祝福,[-0.17762999]
温柔,[-0.30938712]
尴尬,[0.18870382]
李克勤,[0.42699882]
好歌,[-0.22120827]
那么,[-0.09026294]
每首歌,[0.20156538]
听的歌,[-0.24178956]
谭咏麟,[-0.38263524]
薯片,[0.28726003]
张国荣,[0.17521448]
搂搂,[-0.19816951]
没有,[0.45106384]
单曲,[-0.22368437]
粤语歌,[0.44651493]
关上灯,[-0.4996877]
惟吾德馨,[-0.49668846]
洪卓立,[-0.35767463]
陈奕迅,[-0.16516173]
周柏豪,[0.13627492]
没白过,[0.46116963]
蜡笔小新,[-0.32263613]
听千嬅,[0.10870477]
陈奕,[0.17514679]
要作,[0.4973425]
派大星,[0.2658501]
斯是,[0.16514829]
迅女,[0.48530504]
昨天,[-0.18952993]
曾经,[0.38790402]
张学友,[-0.02729213]
调调,[-0.02381296]
香港,[0.17147657]
陋室,[-0.23425063]
一边,[-0.4513177]
王菲,[0.3570452]
稀客,[-0.42701963]
复读,[0.1604463]
荧光粉,[0.3485208]
作词,[0.20447345]
多愁善感,[0.22442964]
天父,[-0.26648816]
随心,[-0.49389815]
扭捏,[-0.45451322]
自己,[0.45325008]
玩偶,[0.37856025]
经典之作,[0.3361967]
风铃,[0.02465374]
妒忌,[-0.388984]
大大方方,[-0.06035068]
消息,[-0.14538483]
画笔,[0.30070123]
淡忘,[-0.42487022]
知音,[0.13327637]
剪纸,[0.13374138]
显灵,[-0.3128643]
初恋,[-0.23120888]
当回事,[-0.37148347]
然后,[0.34807488]
番茄,[-0.2337696]
东西,[0.10333234]
十分钟,[0.10813337]
特别,[-0.24194996]
西红柿,[0.43948615]
几支,[0.05842295]
最后,[-0.2474564]
天花板,[-0.13173635]
干嘛,[0.14942159]
祈求,[0.15803023]
圣诞,[0.3880293]
由衷,[-0.22330633]
前任,[0.2309517]
一样,[-0.18454303]
床头,[-0.27445564]
莫名,[0.4547084]
作曲,[-0.4128873]
那一刻,[-0.44824132]
土豆,[0.02061208]
这首,[-0.39621216]
好听,[-0.07763476]
意境,[0.1326855]
摸摸,[-0.3138254]
时候,[-0.31995195]
新生代,[-0.14671569]
遍地,[0.19727099]
只想,[0.4777091]
乐队,[0.14776535]
迟早,[0.26976615]
雪花,[0.42533305]
马铃薯,[-0.04376063]
布满,[-0.13987854]
小时候,[-0.5017811]
气质,[-0.08282585]
一些,[0.06134488]
小孩子,[0.47364464]
分手,[0.31248337]
发了,[0.0855014]
知道,[0.30110535]
生涯,[0.23693568]
青春,[-0.3478875]
被子,[0.18929532]
恋爱,[0.04097296]
传达,[-0.45982742]
好人,[-0.11604854]
一首,[-0.30367705]
墙壁,[-0.50614893]
醒来,[-0.23613712]
可爱,[-0.16057715]
