杨千嬅,[0.2563389]
喜欢,[0.33783162]
撇嘴,[-0.41155678]
编曲,[-0.3725246]
林夕,[-0.13520141]
收藏,[-0.47017756]
自己,[0.44030768]
诠释,[-0.28930527]
写给,[-0.1642673]
半小时,[-0.29318988]
分享,[0.19299355]
勉强,[0.10421503]
好歌,[-0.2296077]
听的歌,[-0.24803315]
感情,[-0.35072392]
我能,[0.30492714]
多烦,[-0.2729507]
连见,[0.16098773]
舒淇,[0.09890411]
哪片,[0.322441]
陈奕迅,[-0.16407846]
黄耀明,[0.19413027]
多痛,[0.13503386]
那時候,[-0.21721743]
現在,[-0.12791373]
迅来,[-0.20905228]
歌名,[-0.06958971]
陈奕,[0.16273168]
太入,[-0.0379149]
Single,[0.02137563]
時間,[0.09753877]
人瞎过,[-0.21342812]
那种,[0.3334875]
死要面子,[0.01139808]
凄美,[-0.22476566]
这样,[-0.16291592]
听到,[0.35743338]
王菲,[0.3402817]
一个,[0.05034616]
别人,[-0.35192084]
推荐,[-0.47452706]
太爱,[-0.4791717]
就是,[-0.2736009]
首歌,[-0.28102884]
终究会,[0.3179334]
真快,[0.488064]
杨小姐,[-0.26415315]
填词,[0.3115504]
红心,[-0.24898659]
编出,[0.24789697]
安好,[0.10082701]
际遇,[-0.02167347]
然后,[0.33151457]
初二,[-0.34754214]
一段话,[0.07351088]
前奏,[-0.38295692]
谈恋爱,[-0.24902861]
耳机,[-0.35077196]
没有,[0.45246893]
生活,[-0.22809842]
那么,[-0.09308523]
自尊心,[0.14669213]
圣诞,[0.3896996]
风中,[-0.18394537]
圣诞节,[0.15744671]
地方,[-0.3348796]
瞭望,[-0.27396193]
单身,[-0.33885515]
陌生人,[0.31678998]
发现,[-0.3484054]
只有,[0.4819316]
提炼,[0.01865821]
曲子,[-0.00223319]
旁人,[0.07843468]
爱心,[-0.07122266]
向往,[-0.49463737]
奢侈,[-0.27222532]
口味,[-0.3522758]
往返,[-0.330915]
死刑,[-0.3679836]
唱歌,[0.24263793]
惊恐,[-0.33251086]
大哭,[-0.09299897]
开心,[0.21044508]
两句,[-0.17619495]
默默,[-0.36435255]
带上,[-0.33236954]
隐藏,[-0.3052783]
这段,[0.3235164]
这些,[-0.07377124]
所有人,[0.2213024]
可爱,[-0.1560288]
听听,[0.08016838]
女孩,[-0.44667265]
智慧,[0.2818779]
味道,[-0.19271627]
思考,[-0.18705632]
绝不,[-0.17350566]
小小的,[0.2406548]
欧美,[0.04215264]
他们,[-0.2879108]
他人,[-0.16965654]
评论,[-0.34524137]
总结,[0.22430049]
学会,[0.3817834]
电影,[0.4779844]
顺利,[-0.20918675]
音乐,[-0.4687668]
一类,[-0.04019748]
取消,[-0.2125551]
道理,[-0.331121]
记得,[0.24124166]
将来,[0.13142225]
各自,[0.21798275]
