抽烟,[0.46185356]
喜欢,[0.33760244]
心酸,[0.20168062]
共同话题,[0.16835912]
好歌,[-0.22151779]
爱情,[0.10293312]
生日快乐,[-0.18491192]
云淡风轻,[0.20277897]
难道,[-0.24892361]
妈粉,[0.16976625]
命硬勇,[0.10410319]
水瓶座,[-0.453788]
余春娇,[-0.36927593]
傻气,[0.17861985]
首词,[-0.1563276]
鬼故事,[-0.09517726]
同偕到,[-0.06329709]
粤癌,[0.2872579]
听歌,[0.16980109]
过千,[0.19804153]
赌上,[0.04186451]
只望,[-0.34154296]
大俗,[-0.45911154]
我要,[0.40231934]
合照,[-0.14902413]
fa,[-0.26091513]
kay,[-0.00240246]
活成,[-0.035167]
率性,[-0.16237019]
爱恨,[-0.36807203]
吐舌,[0.4974186]
收放自如,[-0.39349157]
戒掉,[0.29845807]
一个,[0.07578075]
稀客,[-0.4122011]
霜花,[0.45730504]
就是,[-0.26461148]
旧友,[0.45308366]
为什么,[0.11632957]
偷生,[0.06686203]
余生,[-0.46116474]
横冲直撞,[0.10612115]
刻骨铭心,[-0.4224273]
纠葛,[-0.19441128]
羁绊,[-0.28571972]
戒烟,[0.26139078]
心软,[0.38025087]
可是,[0.13744861]
一男一女,[0.18757574]
从头到尾,[0.14304313]
哀伤,[0.17139426]
亲眼看到,[0.2434523]
轻而易举,[-0.45970663]
动心,[0.38041344]
男生,[-0.3745787]
讲讲,[0.16621433]
心痛,[0.13643348]
错觉,[-0.09078587]
瞧不起,[0.09305357]
白发,[-0.34982097]
潇洒,[-0.16718124]
稿子,[0.49841934]
怀念,[0.21020176]
重症,[0.2558356]
从没,[-0.18889913]
一千,[-0.366422]
唱歌,[0.24483989]
一瞬间,[0.03654667]
化为,[-0.42300653]
渡过,[0.38674125]
一点点,[0.14767215]
哈哈,[-0.47520265]
礼物,[-0.21387453]
这样,[-0.15279107]
凌晨,[0.26175284]
可爱,[-0.15888204]
女孩,[-0.44100818]
无非,[0.23057972]
看过,[0.4853195]
晚期,[-0.12644842]
模样,[0.3946166]
丧失,[-0.44084442]
自己,[0.46032408]
当作,[0.04221196]
一夜,[-0.01252418]
没人,[0.03503164]
电影,[0.48174915]
怀疑,[-0.1365468]
不禁,[-0.16222638]
传说,[-0.492883]
感情,[-0.33760583]
仿佛,[0.46403727]
一生,[-0.19284704]
回头,[-0.19867656]
患者,[-0.2721159]
令人,[0.2653627]
不必,[0.2751534]
没有,[0.46049744]
失去,[0.07091992]
竟然,[0.25802553]
日子,[-0.2474638]
曾经,[0.38924363]
朋友,[0.42727664]
一块,[0.2737436]
真的,[-0.1130724]
想到,[0.4634238]
肯定,[-0.09696177]
拥有,[-0.07786126]
一天,[0.26192626]
后来,[0.4131842]
完成,[0.15327998]
能力,[-0.17278044]
不要,[0.04635958]
那个,[-0.5017762]
之后,[-0.24038339]
世界,[-0.26146233]
