叶倩文,[-0.07588165]
喜欢,[0.3286284]
评论,[-0.339277]
林青霞,[-0.40459612]
钟楚红,[-0.3993414]
伤逝,[0.35578945]
老歌,[0.42494267]
一秒,[0.23631397]
婚前,[0.46271977]
陌生人,[0.32373527]
鲁迅,[0.29437935]
也好,[0.3158098]
爱情,[0.11237524]
不会,[-0.12695259]
翻唱,[0.1088599]
原唱,[0.09320432]
歌王,[-0.3727847]
林忆莲,[-0.0808925]
消耗品,[0.29145905]
爱情小说,[-0.25630245]
祝你幸福,[-0.0762942]
梅艳芳,[-0.02944453]
中后,[-0.11650372]
有位,[-0.3437977]
ex,[0.29092947]
时正读,[-0.3109401]
倩文,[-0.15834647]
陈慧娴,[0.45025676]
歌戾,[-0.0443688]
股劲,[-0.33259735]
吃不胖,[-0.33093497]
邓紫棋,[-0.5003793]
携子,[-0.0777394]
孤独寂寞,[0.0170844]
子君,[-0.37684953]
不丑,[-0.34820125]
我服,[-0.04440209]
刀马旦,[0.01064138]
悲伤地,[0.25197655]
真是,[-0.17907345]
王菲,[0.35691008]
起名,[-0.41063607]
自然美,[-0.28511885]
细水长流,[-0.00296512]
柴米油盐,[0.21985719]
首歌,[-0.27939057]
矫揉造作,[-0.42589664]
唱功,[-0.23637822]
吐字,[-0.00894461]
自己,[0.45758164]
良人,[0.24642417]
后辈,[0.02748572]
懒惰,[0.12927175]
可不可以,[-0.26394847]
余生,[-0.46138203]
基本功,[0.0495194]
有人,[-0.24092962]
翻着,[0.00062485]
坏习惯,[-0.01627488]
纯真,[0.42738706]
纪念品,[0.06219666]
我爱你,[0.4192418]
不求,[0.27243674]
伴侣,[-0.02385198]
没得,[-0.10563336]
最后,[-0.24236853]
牢记,[-0.07756101]
可悲,[-0.17409953]
强悍,[-0.45863855]
歌手,[0.21642008]
心痛,[0.14139381]
时人,[0.26649776]
世界观,[0.4443166]
四天,[0.24415767]
轰轰烈烈,[0.12492954]
取名,[-0.04193198]
价值观,[0.05205647]
不符,[-0.35393053]
婚后,[0.14195687]
天后,[-0.08061109]
太重,[0.04081032]
堕落,[-0.31258944]
好听,[-0.07927461]
不减,[0.21494292]
爱心,[-0.07062783]
深情,[0.16558218]
歌声,[0.14860964]
倒塌,[0.2521861]
辜负,[0.26401266]
拖延,[-0.3507292]
歌曲,[-0.08365083]
扎实,[0.06679301]
好不好,[-0.3647217]
封面,[0.41513634]
早日,[0.01924882]
中文,[-0.24522398]
大哭,[-0.09136996]
空虚,[-0.26143008]
调和,[-0.22293326]
并列,[0.16916095]
孤独,[0.4936316]
十足,[0.2650229]
艺人,[-0.4578206]
压抑,[-0.11481657]
路过,[0.3567344]
忍受,[-0.13781974]
之手,[-0.07137897]
妥协,[-0.01463069]
如果,[0.36714852]
可爱,[-0.1564127]
