喜欢,[0.33754238]
终于,[0.07905287]
女生,[0.44850582]
不用,[-0.23988444]
懂事,[0.01829263]
只是,[0.32568198]
变态,[0.43187892]
不在乎,[0.34036234]
原谅,[0.05172361]
温柔,[-0.30805135]
委屈,[-0.03638687]
从不,[-0.1353551]
郑秀文,[-0.39359975]
评论,[-0.33612713]
放弃,[0.11595742]
时候,[-0.3244556]
顺心如意,[0.1857617]
迈巴赫,[-0.07733651]
拜金女,[-0.4419466]
很少,[0.13079605]
手机,[-0.1915147]
唱红,[-0.19960715]
符合,[0.2078806]
成熟,[0.29943413]
光鲜亮丽,[-0.00659374]
店风,[0.2047299]
菱宏,[-0.04374808]
不挂科,[-0.15094681]
听多会,[0.14637472]
Sammi,[-0.46456325]
真遗憾,[-0.12077423]
难爱上,[0.00178201]
里大热,[0.13590132]
记不太清,[0.25138873]
菱宏光,[0.3398452]
有电,[0.03722908]
嘉琪,[-0.3211849]
器大活,[0.15463556]
有油,[0.05553611]
ktv,[0.16958159]
有夜,[0.37884083]
开五,[-0.02675609]
泡过,[-0.34880438]
歌好,[-0.00292284]
愧意,[0.15381916]
辣条,[-0.47598463]
手回,[0.50580686]
还是,[-0.0161648]
男人,[-0.01682234]
吐舌,[0.49695766]
不是,[0.20838769]
认识,[-0.4443611]
真的,[-0.10832335]
罪有应得,[-0.08830077]
开好,[0.17427838]
温柔体贴,[0.4617969]
纵酒,[0.13210586]
患得患失,[0.27296972]
三四点,[-0.32109836]
校花,[0.04586718]
善解人意,[-0.30804217]
无法,[-0.35807902]
首歌,[-0.28373381]
自己,[0.48601547]
越能,[0.320104]
可以,[0.14002296]
平平安安,[0.4445314]
喜怒无常,[0.2680662]
读懂,[-0.464598]
希望,[0.322123]
私藏,[0.42585567]
煮饭,[0.20269053]
副驾驶,[-0.11438577]
其实,[0.33650276]
年华,[0.01143156]
不介意,[-0.22984624]
上瘾,[0.05548035]
回不去,[-0.39211464]
月薪,[-0.22324805]
弟妹,[0.3325167]
隐忍,[-0.01867284]
撕心裂肺,[-0.1276317]
扯淡,[-0.30740625]
走后门,[-0.07202505]
愁苦,[0.30564302]
告诉,[-0.43429607]
紧握,[-0.11207397]
双十,[0.39966545]
好想你,[0.32657304]
作弊,[0.36143085]
获得,[0.07412137]
包了,[0.12417909]
夜夜,[-0.19784582]
红包,[0.12324326]
光年,[-0.29483038]
擦擦,[-0.39078742]
安全感,[0.05495225]
保重,[0.20523128]
通宵,[0.3380229]
钱包,[0.24375968]
扫地,[-0.15333287]
最后,[-0.24178636]
疼爱,[-0.412607]
挥霍,[-0.3048236]
留言,[0.21813893]
糜烂,[0.14258607]
一直,[0.08538303]
四级,[0.42711133]
身体健康,[0.32521623]
喝醉,[0.19359177]
加倍,[-0.29877254]
日日,[0.04453949]
男朋友,[0.3047711]
火车票,[0.11064688]
总能,[-0.02935021]
一样,[-0.17913957]
怎么,[-0.3293295]
很想,[0.27431172]
拥抱,[0.47932547]
高歌,[0.31394026]
忌讳,[0.13977495]
成品,[0.32281193]
买到,[-0.06836959]
愚蠢,[0.28760928]
没关系,[0.43882295]
方向盘,[0.5055047]
关键在于,[0.20224051]
网易,[0.10155972]
打架,[-0.24783376]
老乡,[0.48740315]
挣钱,[-0.44475487]
欣慰,[-0.260578]
