好听,[-0.07917023]
杰伦,[-0.24745476]
喜欢,[0.3316639]
作曲,[-0.4106465]
无人能敌,[0.2796808]
于素,[0.07155741]
linda,[0.26114446]
杰伦藏,[0.24329135]
我现,[-0.10102078]
韦雄,[-0.00808443]
周董,[-0.00599482]
吐糟,[0.17452127]
杰伦写,[-0.38915738]
憨笑,[0.06085525]
周杰伦,[0.45377785]
就是,[-0.2702479]
亲亲,[0.19975348]
淡然,[0.32178274]
太深,[-0.24826522]
心动,[0.08379871]
心痛,[0.13174967]
真挚,[-0.43838498]
浓烈,[-0.3396783]
爱心,[-0.06550613]
初中,[-0.04324689]
高中,[0.14079902]
知道,[0.29728216]
一首,[-0.30292392]
可爱,[-0.15769753]
好看,[0.4420141]
传递,[0.18084347]
可怜,[0.41856506]
没有,[0.45689428]
名字,[-0.22757575]
经常,[0.08910887]
哪里,[0.02932659]
大学,[-0.11846481]
感觉,[0.21028514]
以前,[0.36615142]
如今,[0.2654159]
东西,[0.10736855]
特别,[-0.24112411]
不会,[-0.12867779]
但是,[-0.2735756]
开始,[-0.06176866]
这样,[-0.156517]
已经,[-0.2941649]
