粤语,[-0.41265848]
红心,[-0.25443536]
喜欢,[0.33452848]
港剧,[-0.2257263]
天尊,[-0.20259379]
网易,[0.09454757]
流泪,[0.4999738]
偶像剧,[0.03329505]
反派,[-0.14288878]
笑口常开,[-0.26718226]
千秋万世,[0.06227966]
永不分离,[-0.23313093]
重播,[-0.35135323]
歌单,[-0.42409682]
要好看,[0.30060354]
干将莫邪,[-0.01888833]
大陆,[0.33255583]
青锋,[0.46057165]
第一遍,[-0.02393585]
钟嘉欣,[-0.4731968]
好彩妹,[-0.31150866]
qwq,[-0.14450379]
娇地,[-0.49457914]
太爽,[-0.41008618]
晏喜,[-0.23779882]
FM,[-0.0659688]
错付,[0.08919082]
尝过,[0.42599756]
轻喷,[-0.18896085]
虐心,[-0.00510893]
彩妹,[-0.17983954]
来傲,[-0.06152874]
同生共死,[-0.24232315]
仙藤,[-0.25617674]
好彩,[-0.17924908]
碰及,[-0.02281992]
赤练,[0.0096674]
香港,[0.17709032]
大一,[0.34504429]
装睡,[0.3473918]
莫邪,[0.35452622]
软弱无能,[0.01982317]
发梢,[0.47392544]
容易,[0.21049844]
卫视,[-0.12338168]
不忿,[0.41083565]
几首,[-0.33336875]
干将,[0.37730342]
敢当,[0.04971445]
无底洞,[-0.23854326]
半夜三更,[-0.44302025]
个人观点,[-0.22982746]
五六年,[-0.09241907]
苦楚,[-0.00869922]
有异,[0.35567695]
心软,[0.38554168]
然后,[0.34252912]
触电,[-0.15858737]
偏多,[0.3965819]
耐人寻味,[0.4097767]
前奏,[-0.38199776]
稀饭,[0.34613165]
一直,[0.07793753]
没完没了,[0.38628128]
盔甲,[0.3410296]
血腥,[-0.16708857]
爱心,[-0.06545707]
向往,[-0.4831615]
伸出手,[0.3009511]
电视剧,[0.475256]
生病,[-0.11063066]
真心,[-0.00447172]
背叛,[0.06816263]
个头,[-0.17802203]
唱歌,[0.24857701]
讨厌,[0.10015275]
之家,[0.43879026]
说服,[-0.37683102]
整天,[0.4896396]
坚硬,[-0.3930353]
风暴,[-0.46582526]
开始,[-0.06205068]
头脑,[-0.36081335]
响起,[-0.16407894]
何时,[0.09837671]
悄悄,[-0.3014912]
这边,[0.24036396]
第一部,[-0.34110278]
收回,[-0.13004442]
印象,[0.22639324]
感动,[-0.09288949]
小学,[-0.22229478]
韩国,[-0.46836984]
天天,[0.30456978]
私人,[0.38606992]
开口,[0.33381003]
深刻,[0.49154678]
明星,[-0.2042022]
