网易,[0.10598054]
不去,[-0.07648318]
那么,[-0.08281025]
颓靡,[-0.139931]
情路,[-0.2693526]
人点,[0.24293748]
深得我心,[0.31562153]
遇一人,[-0.20824575]
随性,[0.4199862]
无数遍,[0.086215]
花里胡哨,[-0.09554385]
老歌,[0.43070525]
播放器,[-0.01440108]
随大流,[0.2398337]
推荐,[-0.4758738]
唱出,[-0.10795085]
盆花,[0.3970512]
红心,[-0.24344975]
其实,[0.32867056]
跌宕,[0.30217242]
商业化,[0.08575062]
挥霍,[-0.3068272]
混浊,[-0.49563485]
迷茫,[-0.15764569]
莫名,[0.45887858]
陌生人,[0.3284227]
这首,[-0.39208683]
去路,[0.18674684]
一包,[-0.02665782]
圈子,[0.02047507]
茫茫,[0.23890583]
开心,[0.22713608]
孤独,[0.5015042]
喜悦,[-0.14702791]
不乏,[-0.25809172]
羡慕,[-0.37282142]
安心,[0.41353777]
青春,[-0.3488908]
电台,[0.4378419]
一首,[-0.3014594]
优美,[-0.11808699]
行李,[0.0660521]
好多,[0.49273625]
谢谢,[-0.11390802]
软件,[-0.31917483]
和谐,[0.2921134]
就是,[-0.26670972]
经典,[-0.48853686]
私人,[0.38481426]
挣扎,[-0.02799766]
评论,[-0.33188093]
疯狂,[-0.17256011]
故意,[0.31552276]
收到,[0.10921972]
音乐,[-0.46313354]
明日,[0.02766602]
一类,[-0.03027614]
做好,[-0.48095804]
没有,[0.46256292]
大多,[-0.37576315]
责任,[0.34450847]
每天,[0.08748147]
最好,[-0.11402755]
喜欢,[0.33347768]
感觉,[0.21912733]
相当,[-0.33988503]
然而,[-0.35211906]
终于,[0.06163713]
为什么,[0.11207436]
明白,[-0.24105486]
有人,[-0.23697504]
不知,[0.30448398]
突然,[0.42402938]
一切,[0.47497478]
东西,[0.11200526]
有些,[-0.02698002]
之一,[-0.3084343]
生活,[-0.21624956]
一直,[0.08097293]
而且,[-0.01857374]
所以,[-0.1439469]
但是,[-0.2696704]
一种,[-0.34831098]
还有,[-0.45800358]
重要,[0.22283465]
不能,[0.08080494]
还是,[-0.01888556]
这种,[-0.33802056]
现在,[-0.33723107]
这个,[0.01340012]
什么,[0.4739938]
我们,[-0.3025047]
一个,[0.0684928]
