beyond,[0.20467818]
无悔,[0.51634496]
家驹,[0.34431276]
首歌,[-0.27422968]
黄家驹,[0.10121457]
一生,[-0.17810191]
孤独,[0.49716574]
演唱会,[-0.22036514]
儿时,[0.48111168]
无论,[0.3208985]
一次,[0.48258442]
无数次,[-0.3657876]
听到,[0.3660167]
大哭,[-0.0808721]
遗憾,[-0.12002442]
信仰,[0.11284578]
一个,[0.08798125]
最后,[-0.23536754]
生活,[-0.19065708]
爱情,[0.12295543]
司机,[0.22431336]
评论,[-0.3302784]
理想,[0.11713625]
学着点,[-0.42982277]
能冲,[-0.2819208]
粤语歌,[0.46227106]
高四,[-0.35682747]
人来,[0.30542222]
我要,[0.4076519]
随身听,[-0.11833649]
没考,[0.27775955]
我歌,[0.06547982]
淅淅,[-0.23678985]
还是,[-0.01067488]
住校,[0.26021597]
无病呻吟,[0.37018085]
歌坛,[0.20821208]
粤语,[-0.39390895]
摇滚,[-0.07988592]
喜欢,[0.3483291]
不是,[0.23440586]
真的,[-0.10195534]
肥猪,[0.04230063]
励志,[-0.23844464]
周星驰,[-0.0062731]
复读,[0.17291655]
一句句,[-0.0880108]
大四,[-0.3654786]
扣人心弦,[-0.2317064]
请客吃饭,[0.38664877]
无法,[-0.34879217]
大二,[-0.4518625]
初中生,[-0.24390455]
两块钱,[0.05353882]
一年,[0.22982691]
年月日,[-0.10804933]
十五六岁,[0.23770401]
希望,[0.31900555]
吉他,[-0.04183345]
泪如雨下,[-0.08298077]
纵情,[0.40684196]
感悟,[0.08173916]
不羁,[0.27171966]
只愿,[-0.05459937]
风里,[0.303924]
学好,[0.28244013]
迷惘,[0.4280374]
泪光,[0.23823799]
求职,[-0.03806395]
碰壁,[-0.17193672]
高唱,[-0.48049942]
坚持下去,[0.22607793]
重金属,[0.2963364]
走遍,[-0.46468842]
男儿,[0.37006068]
消沉,[0.34587038]
漫步,[0.09210954]
高三,[-0.25680593]
尽如人意,[0.41032115]
热泪盈眶,[0.08774748]
追寻,[-0.4891146]
回首,[-0.44240257]
漂泊,[-0.29025108]
耳机,[-0.32944357]
影坛,[0.44274324]
誓言,[-0.18346746]
放纵,[-0.45042625]
爱上,[0.21434513]
心怀,[0.12795296]
小雨,[-0.28064346]
不朽,[-0.16422088]
磁带,[0.15967786]
毅然,[0.4108932]
高歌,[0.32162526]
立下,[-0.34827313]
远去,[0.3350887]
屡屡,[-0.08184799]
旋律,[-0.12066723]
每每,[0.46211696]
虽然,[0.28756267]
网易,[0.10608228]
校园,[-0.32950005]
初中,[-0.03486829]
一定,[0.29371038]
贫穷,[-0.45991984]
集结,[0.24397011]
茫茫,[0.25025812]
因为,[0.1402585]
十几年,[0.02854702]
原谅,[0.04882825]
瞬间,[0.11852146]
阻挡,[-0.4577125]
不知不觉,[0.01859209]
追逐,[0.05799238]
痛哭,[-0.01237729]
青春,[-0.34465182]
千里,[0.08748776]
那年,[-0.38674223]
灰色,[0.255407]
四处,[0.46685088]
