犬夜叉,[-0.14592813]
原曲,[0.29531667]
备胎,[0.45424446]
纸条,[-0.2637748]
时候,[-0.32614657]
奥特曼,[-0.3960568]
那集,[-0.39669374]
评论,[-0.3312823]
作曲者,[-0.35221392]
卒业,[0.19880946]
进去,[0.02234532]
曲者,[0.26591414]
单曲,[-0.21872853]
少人,[0.36594754]
被奈落,[-0.4679918]
脚痛,[-0.48816535]
町田纪,[-0.21179278]
既视感,[-0.23910424]
当说,[0.33397168]
调调,[-0.02011525]
喜欢,[0.33538404]
推下,[0.38358518]
脑溢血,[0.41453204]
体育课,[-0.36512086]
装病,[-0.419732]
首歌,[-0.27955052]
一首歌,[0.02347028]
全校,[-0.4616095]
决绝,[0.37155157]
插曲,[-0.33902037]
桔梗,[-0.3504203]
很多年,[0.24260883]
夜来,[-0.37974766]
第一句,[-0.21306172]
山崖,[0.16712643]
那么,[-0.08534501]
同一天,[-0.22002326]
歌词,[-0.33700597]
表白,[-0.16100223]
初三,[-0.31664154]
版权,[-0.39285326]
抽屉,[0.16195591]
怎么,[-0.3426346]
发现,[-0.33405495]
这首,[-0.39163044]
女神,[-0.09014937]
网易,[0.09987223]
爱心,[-0.06484344]
写得,[0.35412666]
上课,[-0.43642718]
再见,[0.21622403]
封面,[0.41160634]
无事,[0.18294938]
后门,[0.29281005]
大哭,[-0.08743335]
偷偷,[-0.15367417]
差点,[0.28028095]
醒来,[-0.23251967]
转正,[0.3378186]
不去,[-0.07450777]
谢谢,[-0.11689008]
当初,[0.4436914]
这条,[-0.02971771]
明日,[0.03199694]
第二天,[0.5005252]
明天,[-0.18578146]
记得,[0.24454047]
拒绝,[0.00039777]
毕业,[-0.03386691]
维护,[-0.07248363]
四个,[-0.3077212]
一张,[-0.44271663]
身边,[0.21418197]
听到,[0.36348563]
里面,[-0.39635682]
真的,[-0.1174335]
下去,[-0.4152557]
科学,[0.39621928]
希望,[0.3145416]
其实,[0.3296949]
有人,[-0.23577434]
机会,[-0.37572083]
一下,[-0.1954708]
然后,[0.34754422]
过去,[0.35315153]
这么,[-0.1263601]
为了,[0.23444748]
出来,[0.3813872]
因为,[0.13119651]
还是,[-0.02474736]
不是,[0.20206967]
一个,[0.06666932]
