封面,[0.40623426]
首歌,[-0.28731596]
网易,[0.09641116]
过来,[-0.30790934]
多少,[0.41494578]
生气,[0.43729538]
微辣,[0.03369528]
抽人水,[0.43764642]
系度,[0.17324069]
云快,[-0.34309605]
fm,[-0.35839912]
点赞,[-0.15347216]
泥个,[0.06669397]
观光团,[-0.11733537]
原黎,[-0.30433875]
仔咧,[-0.01805845]
微辣来,[-0.27267566]
kid,[-0.06918254]
人地边,[-0.39037263]
lhl,[-0.05119247]
我要,[0.399721]
最右,[-0.01096289]
靓妹,[-0.24256869]
下学期,[0.45447743]
恶搞,[-0.02442851]
翻出来,[0.02366654]
人地,[-0.2092354]
记错,[0.3224215]
换掉,[0.29449016]
几首,[-0.3357757]
撇嘴,[-0.40952447]
杂乱无章,[-0.23877844]
写照,[0.20629367]
好多年,[0.04222558]
哀伤,[0.16736105]
火花,[0.00858917]
口罩,[0.00140401]
这首,[-0.39280453]
要命,[0.47629085]
好久,[0.01828167]
初中,[-0.0515638]
错过,[-0.12816195]
大哭,[-0.092402]
开心,[0.2208519]
视频,[-0.09276239]
阻挡,[-0.47112322]
青春,[-0.3524805]
恋爱,[0.04244224]
哥哥,[-0.47326446]
一段,[-0.4856124]
学生,[0.27921152]
听到,[0.35670835]
喜欢,[0.33374703]
时代,[0.20787255]
终于,[0.0603381]
一下,[-0.19657417]
完全,[-0.33606827]
知道,[0.2958931]
现在,[-0.34237975]
开始,[-0.06697434]
就是,[-0.27708203]
这个,[0.00773218]
一个,[0.05870127]
