大哭,[-0.08989353]
侧田,[0.37050912]
心疼,[-0.23543069]
三秒钟,[0.46639356]
头壳,[0.36779863]
广东,[0.4952699]
听侧,[-0.16983442]
耕开,[0.329314]
侧田田,[-0.03870099]
郭敬明,[0.27794063]
喜欢,[0.33369383]
一首歌,[0.02215952]
雪橇,[0.03477942]
满以为,[-0.23251347]
品味,[0.29316872]
没听说过,[-0.44373727]
歌词,[-0.33889535]
痛心,[0.2407103]
好听,[-0.0777359]
封面,[0.41071945]
回事,[-0.20032799]
明明,[0.17624168]
尝试,[0.39362726]
底下,[0.14598453]
经典,[-0.49157274]
无人,[-0.19218512]
评论,[-0.33403653]
半个,[-0.4191397]
流行,[0.46142396]
内地,[-0.05473782]
故事,[0.17403367]
是不是,[-0.27722242]
朋友,[0.42364663]
身边,[0.2148702]
进来,[0.11164016]
推荐,[-0.4751228]
为什么,[0.11339556]
有人,[-0.23897663]
看到,[-0.07550599]
很多,[0.41581944]
可是,[0.1361787]
地方,[-0.32481718]
只有,[0.48573205]
时候,[-0.32555225]
其他,[0.17030108]
工作,[0.21943474]
但是,[-0.27432695]
知道,[0.29708204]
可以,[0.13819857]
