分手,[0.3148148]
复合,[-0.32486108]
你们,[0.21114525]
相信,[0.12610845]
恋爱,[0.04608334]
十年,[0.16062741]
方力申,[-0.41851312]
前十,[0.45425755]
邓丽欣,[-0.4254291]
好报,[0.2850972]
唱的歌,[-0.12300191]
同屋,[0.40769553]
她俩,[0.39938033]
情歌,[0.35904673]
合唱,[-0.27855843]
歌词,[-0.33982882]
那句,[0.41536438]
女朋友,[-0.04728333]
好心,[-0.32796833]
好听,[-0.07864674]
运气,[-0.09858743]
七年,[-0.07026425]
我们,[-0.3060497]
好好,[0.09511023]
不够,[0.48155114]
意外,[-0.03205548]
一半,[0.08187472]
不了,[-0.32324657]
喜欢,[0.33380157]
真的,[-0.11753297]
只能,[-0.13539468]
十分,[0.19472897]
最后,[-0.24369821]
两个,[0.22541372]
自己,[0.4604297]
