流泪,[0.5013759]
星星,[0.06608718]
好报,[0.28550723]
备胎,[0.4555178]
十年,[0.16865653]
什么,[0.47445157]
作品,[-0.27352378]
守护,[0.08006864]
好人,[-0.11709248]
百听不厌,[0.33866575]
结婚,[-0.42695206]
关心,[-0.2920947]
五年,[0.4727629]
再也,[0.1141384]
功德圆满,[0.10917959]
方力申,[-0.4155681]
无姓,[0.33876982]
日後難,[-0.05767195]
该操,[-0.01668434]
听歌,[0.17521167]
阿申,[-0.24587414]
我兢兢业,[-0.11919551]
落力,[0.1702946]
細佬,[-0.13308582]
那不关,[0.12610936]
没念记,[0.348592]
虐心,[0.00139323]
不火,[0.05653162]
唱过,[-0.23275669]
膠套,[0.24314025]
可保,[-0.22020781]
忧桑,[0.31694528]
两年,[-0.4709647]
哭醒,[-0.27316156]
唱的歌,[-0.12010355]
为什么,[0.1144056]
亏欠,[0.34763885]
越做越,[0.35236987]
缺德,[-0.30325705]
回不去,[-0.38081908]
病痛,[0.299659]
举个,[0.2727822]
情歌,[0.3586193]
耿耿于怀,[-0.37578416]
鬼脸,[-0.00087804]
念念不忘,[-0.40625536]
友情,[-0.41419283]
相亲,[-0.0607773]
三部曲,[0.2745442]
最远,[0.38582698]
新郎,[-0.18379577]
煎熬,[0.2516434]
不须,[-0.10177597]
惋惜,[-0.22557248]
只是,[0.32620794]
无名,[0.3935406]
好心,[-0.32946458]
好听,[-0.07748204]
怀念,[0.20300716]
女神,[-0.08901229]
相识,[0.43848526]
可笑,[-0.4408925]
分手,[0.31931505]
恋爱,[0.04741577]
三千,[0.0885027]
说来,[0.27446175]
还好,[0.00391658]
所有人,[0.22759111]
老实,[0.09439118]
伤心,[0.08655117]
大街,[-0.30442888]
大笑,[0.03777529]
何必,[0.488631]
认可,[-0.4734726]
分开,[-0.03699756]
夜里,[-0.47071248]
幸福,[-0.33542523]
全世界,[-0.05091231]
可惜,[0.20022194]
好好,[0.10070266]
没有,[0.45655215]
始终,[-0.47019535]
故事,[0.17562321]
走向,[0.37570587]
不得不,[0.25494212]
不想,[0.3298633]
要是,[-0.23101984]
进来,[0.11389678]
真是,[-0.1783083]
总是,[-0.38687733]
不得,[-0.40504035]
听说,[0.18050314]
别人,[-0.34635797]
以为,[0.43626475]
加上,[-0.3237166]
离开,[0.01156437]
终于,[0.05773069]
一年,[0.21928574]
告诉,[-0.45031705]
一起,[-0.36156592]
觉得,[0.23382506]
过去,[0.3551999]
那个,[-0.49707904]
那么,[-0.08409456]
一样,[-0.18666364]
不会,[-0.12401206]
时候,[-0.32904464]
还是,[-0.02946175]
知道,[0.3028011]
现在,[-0.3375228]
不是,[0.19809058]
这个,[0.01124795]
自己,[0.46251747]
