Eason,[-0.05176195]
出現,[-0.39198568]
粤语,[-0.4103023]
憨笑,[0.06744751]
首歌,[-0.27993855]
亲亲,[0.20562778]
今天,[0.3659013]
可是,[0.13037081]
一件,[-0.17126389]
喜欢,[0.32345098]
流泪,[0.50416374]
后来,[0.41309142]
一会,[0.16383137]
许个,[-0.05164568]
一直,[0.07470741]
完美主义,[-0.13382377]
陈胖子,[0.14955966]
从我做起,[0.26531023]
无国界,[0.47561878]
遇到,[0.4214217]
声线,[-0.20730238]
好多个,[-0.30308932]
单曲,[-0.22724232]
成熟,[0.28341863]
LIFE,[-0.32068685]
能许,[0.24836904]
陈奕迅,[-0.1538626]
shenmegui,[0.08250785]
可遇,[-0.00789277]
难爱上,[-0.00026764]
HM,[0.25955972]
MD,[0.08200536]
SSR,[-0.08126637]
MR,[-0.36829102]
那樣,[-0.12691972]
拍个,[0.10823277]
那個,[0.14392786]
抽个,[-0.19677979]
大岁,[-0.47732955]
合照,[-0.14471565]
你妹,[-0.26895577]
广式,[-0.13649543]
Changsha,[-0.26065177]
Another,[0.37056375]
我放佛,[-0.15047044]
遇不到,[0.2467254]
维和部队,[-0.00491233]
灰姑娘,[0.29168954]
相信,[0.12577029]
感觉,[0.21300265]
节约用水,[-0.24024907]
别太,[-0.12270036]
帮不上,[0.4484447]
演唱会,[-0.23055421]
越能,[0.3066683]
苏杭,[0.06599936]
潘基文,[-0.13714898]
沉醉,[-0.35746306]
好多年,[0.04035373]
星球,[0.24157101]
工作室,[-0.34398893]
那个,[-0.5133681]
普通话,[-0.18576758]
多想,[-0.14810033]
男生,[-0.3743695]
钟声,[0.3106331]
景点,[0.31978905]
摆设,[0.16252616]
迫切需要,[-0.30602607]
午夜,[-0.11111342]
人道主义,[0.04048646]
敲响,[0.40817982]
农历,[-0.49913862]
单身,[-0.33200338]
华北地区,[-0.49495447]
这首,[-0.39821538]
祝福,[-0.17468357]
时候,[-0.31940004]
打扫,[0.18147187]
爱心,[-0.05918049]
湖边,[-0.13987106]
奢侈,[-0.2771554]
妹子,[-0.3679942]
只想,[0.48084962]
一个,[0.06191053]
握手,[-0.2914441]
工作,[0.2191169]
一定,[0.29093733]
歌曲,[-0.08726967]
水资源,[0.1823321]
男孩,[-0.21004449]
大吃一惊,[0.11665217]
清新,[-0.44878346]
嘲笑,[0.3487628]
极了,[-0.3173855]
生日,[0.05236595]
停下来,[-0.3444006]
还有,[-0.46330214]
默默,[-0.36024818]
安心,[0.4068422]
救援,[0.17022294]
哈哈,[-0.4847552]
那年,[-0.3935344]
恋爱,[0.0414496]
婚礼,[0.2152025]
惊喜,[0.05332781]
整天,[0.48521405]
浪费,[-0.26605496]
看清,[0.24260858]
所有人,[0.23522629]
感慨,[0.22834179]
可爱,[-0.15803634]
不是,[0.19571571]
遗憾,[-0.13625033]
