林夕,[-0.10957285]
释怀,[-0.24460432]
客尘,[-0.05970036]
安慰,[0.33694625]
自己,[0.46181682]
引渡,[-0.3768104]
刺痛,[-0.11354824]
喜欢,[0.33797583]
我们,[-0.30134484]
讲述,[0.15318967]
一点点,[0.15122388]
小事,[0.49961603]
这么,[-0.12429499]
集齐,[0.06561736]
这句,[0.06453768]
放下,[-0.04100213]
痛如离,[-0.18288402]
陈奕迅,[-0.16339222]
永隔,[0.25017375]
这太,[0.42620987]
中林夕,[-0.00167171]
Kong,[-0.24071324]
能画,[0.09434932]
HM,[0.26842672]
个赞,[0.3210942]
难避,[-0.1464954]
夕爷,[-0.20169762]
Eason,[-0.05197669]
当有,[0.47577938]
歌和乐,[-0.01964568]
张婉怡,[-0.38902855]
心若工,[-0.16684623]
眼酸,[0.37063137]
二字,[-0.46295053]
这歌,[0.06917078]
占有欲,[0.25550318]
朋友,[0.43161812]
粤语,[-0.41102087]
别人,[-0.3448874]
首歌曲,[0.14003961]
如花,[-0.06438454]
就是,[-0.26022476]
吐字,[-0.00372051]
人潮,[-0.12124747]
真正,[0.36832878]
儿歌,[-0.19388461]
扬帆,[-0.4572767]
决绝,[0.37235668]
旧情,[0.03744356]
情歌,[0.35708746]
大张旗鼓,[0.10690173]
画师,[0.49672773]
此生,[-0.35502407]
若想,[-0.44944212]
说白了,[-0.4057014]
远航,[0.16275805]
一举一动,[-0.00158885]
表白,[-0.16296631]
离别,[-0.3740237]
劝慰,[-0.14970545]
心痛,[0.14118423]
手心,[-0.18493871]
最怕,[0.1267485]
劝解,[-0.21671191]
大作,[0.4257167]
好听,[-0.07501229]
炫耀,[0.48575866]
每每,[0.46385399]
时候,[-0.3161302]
江水,[-0.05856646]
废墟,[-0.09089991]
但是,[-0.2737246]
好不好,[-0.36957145]
致命,[0.09598169]
试探,[-0.09337127]
往事,[0.47081032]
一首,[-0.30419198]
告别,[0.18916313]
度过,[-0.2337389]
体验,[0.22077161]
看待,[-0.29811156]
某个,[-0.44227535]
技巧,[-0.45042104]
吸引力,[0.2292815]
弟弟,[-0.07232871]
动静,[-0.39122277]
经典,[-0.4906833]
艰难,[-0.04409444]
当作,[0.04150092]
两岸,[0.13253829]
很小,[-0.07704735]
据说,[-0.4024872]
全是,[0.49999946]
可怕,[-0.1339951]
色彩,[0.16871543]
一身,[-0.23726314]
身份,[-0.15660834]
留在,[0.18811542]
彻底,[-0.3990153]
没有,[0.4616386]
故事,[0.1771309]
寻找,[0.42426816]
不了,[-0.31833336]
想起,[0.3189672]
日子,[-0.2500955]
是因为,[0.09668089]
是不是,[-0.27600476]
身边,[0.20794588]
最好,[-0.1103645]
此时,[-0.14446294]
认识,[-0.44944093]
真是,[-0.1730347]
找到,[-0.16053388]
真的,[-0.11666262]
依然,[0.05609062]
离开,[0.01279681]
感到,[0.13320307]
或者,[-0.28016594]
选择,[0.13023666]
心里,[0.40502152]
突然,[0.41711712]
不要,[0.03924541]
很多,[0.42081234]
几个,[0.16959862]
必须,[-0.3949367]
那个,[-0.50281185]
那么,[-0.08704433]
一直,[0.08167986]
产生,[-0.19001435]
怎么,[-0.3432873]
对于,[0.0171534]
发现,[-0.33837613]
只是,[0.3236667]
出来,[0.38593218]
