男歌手,[-0.0474541]
歌手,[0.2158072]
心淡,[0.00050534]
乐基儿,[0.43604308]
颁奖礼,[0.06119284]
陈奕迅,[-0.16042121]
古鉅基,[0.12839955]
auntie,[0.37424463]
狂串,[0.04660222]
白痴,[0.28008595]
这首,[-0.38863978]
天才,[0.31398967]
拿到,[0.21327247]
李克勤,[0.43406382]
许志安,[0.08717309]
很小,[-0.07524681]
赢过,[0.09919456]
新人奖,[-0.13673297]
超赞,[0.03261692]
小學,[0.26701266]
時候,[0.14156574]
然後以,[0.14443615]
点赞,[-0.15359358]
記住,[-0.18252179]
粤知,[0.42988193]
串唱,[-0.00475312]
快破,[-0.17691742]
TVB,[0.18536094]
sir,[-0.27464265]
书恒,[0.40490305]
幼兒園,[-0.26690003]
唯一,[0.06428403]
角色扮演,[-0.35505944]
憨笑,[0.06376548]
终于,[0.06135656]
四台,[0.22667566]
混成,[0.2387224]
哈哈笑,[-0.15341389]
前三位,[0.15911776]
祝愿,[-0.49004656]
最后,[-0.24376509]
第四位,[0.16746843]
咕咕,[0.3355917]
奖项,[-0.2679294]
好听,[-0.07479586]
受欢迎,[-0.09860192]
诡异,[0.14670366]
一二,[-0.30747527]
星星,[0.06006512]
唱歌,[0.25014156]
开心,[0.22349699]
天王,[0.11936243]
知道,[0.30030653]
一首,[-0.29932052]
不是,[0.20298782]
节目,[0.1893045]
从小,[0.06462138]
付出,[0.38562605]
各大,[0.3698604]
眼里,[-0.47823462]
清晰,[-0.49596423]
爱情,[0.10502003]
评论,[-0.33492196]
合适,[-0.3989643]
四大,[-0.22147776]
结婚,[-0.42578736]
内地,[-0.05312167]
一段,[-0.48386323]
将来,[0.1340404]
证明,[-0.24427159]
第一个,[0.44616002]
是因为,[0.09114946]
香港,[0.17967783]
听到,[0.3609191]
喜欢,[0.33327788]
真是,[-0.17244515]
感觉,[0.21342216]
一个,[0.0660072]
真的,[-0.1161654]
非常,[-0.16234282]
大家,[-0.46352088]
看到,[-0.07637151]
所有,[-0.4779355]
特别,[-0.23998937]
历史,[-0.45316288]
一直,[0.08258846]
之后,[-0.24245086]
需要,[-0.40626463]
因为,[0.13037844]
什么,[0.4755416]
