三部曲,[0.2713297]
黄伟文,[-0.20331554]
林夕,[-0.11594778]
卢巧音,[-0.48656622]
粤语,[-0.41296074]
爱情,[0.11402521]
撇嘴,[-0.40548038]
垃圾,[0.22996062]
几步,[0.2630479]
不要,[0.0471984]
分开,[-0.03504973]
一个,[0.06660705]
心淡,[-0.00370401]
会分,[-0.3874385]
破相,[0.25558636]
分身术,[0.20029022]
四部曲,[-0.49711555]
努力,[-0.21266222]
我能,[0.31308976]
徐继宗,[0.29471484]
虐心,[-0.00212428]
好心分手,[-0.17949836]
填词人,[0.00748548]
言情剧,[-0.29235962]
李代沫,[0.08449665]
不红,[-0.43135303]
boom,[-0.38668638]
二伟,[-0.4033167]
这歌,[0.07454845]
是因为,[0.09464328]
想定,[-0.239788]
悲情,[-0.08806673]
备胎,[0.45541096]
最终,[0.02892928]
为什么,[0.11577524]
十面埋伏,[0.30808163]
势均力敌,[0.39505112]
直白,[0.2723223]
我们,[-0.29963204]
原形,[0.34739643]
规劝,[-0.01920083]
抢来,[0.09578412]
聊聊,[0.2407183]
烂泥,[0.2839337]
艰苦奋斗,[0.3142425]
防不胜防,[0.3658304]
初恋,[-0.23081699]
没有勇气,[0.1085544]
一起,[-0.36585522]
很多,[0.4199435]
失恋,[-0.20375729]
抢走,[-0.45698828]
文雅,[0.26201966]
你死我活,[-0.04789293]
词人,[-0.04401355]
半句,[0.04381403]
迟早会,[0.04320877]
病态,[0.28060836]
男友,[-0.15253393]
漩涡,[-0.3664587]
透着,[0.11578128]
歌词,[-0.3371349]
故作,[0.2440087]
国语,[-0.41563636]
电灯,[-0.25505316]
唯独,[-0.07094543]
不谈,[0.4891122]
世界,[-0.26044267]
没关系,[0.4407983]
皈依,[0.21224777]
怀念,[0.20537415]
所以,[-0.15128598]
错过,[-0.1209939]
得来,[0.0816285]
封面,[0.40999857]
但愿,[-0.0886724]
善良,[0.365465]
时间,[-0.42892054]
停下来,[-0.32922655]
开花,[-0.4281732]
主角,[0.03358837]
三角,[-0.16479278]
如果,[0.3612096]
遇见,[0.15139145]
出卖,[-0.06227081]
落地,[-0.12469774]
多半,[-0.1137554]
处处,[0.27969784]
激情,[0.18043837]
感谢,[-0.2143253]
我会,[-0.25954416]
七年,[-0.06848724]
就是,[-0.27167326]
公平,[0.21405604]
可靠,[-0.3855161]
这个,[0.01569546]
少年,[0.13990296]
自己,[0.46488866]
引进,[0.23540038]
想想,[-0.23569028]
平等,[0.14673652]
迎接,[0.3423274]
节奏,[0.27226037]
可惜,[0.20275334]
想象,[-0.3376825]
说出,[-0.38125446]
