哥哥,"[-0.04783051 -0.01796788 -0.01404725  0.03704548  0.02018052 -0.00614552
 -0.04395268  0.03492426 -0.04517887  0.00643841]"
刘嘉玲,"[-0.03772479  0.00592561 -0.02865596 -0.01096652  0.0226611   0.02376202
  0.04736886  0.01200256 -0.02801586  0.03759116]"
张国荣,"[ 0.01748287  0.02323861 -0.01065254 -0.02207537  0.01771752 -0.04560211
 -0.0477991   0.01264485 -0.00447685  0.01722706]"
KTV,"[ 0.00063101  0.04020971 -0.04741627 -0.0101166  -0.04724229 -0.01721554
  0.01358465  0.04586319 -0.01204894 -0.0111895 ]"
Leslie,"[-0.02021058  0.01643359  0.00354419 -0.01240946  0.00257179 -0.04840501
 -0.02139654 -0.00250851  0.00029259 -0.00748576]"
生前,"[-0.00157573 -0.0255559   0.01701948 -0.02412736 -0.03355277 -0.01192841
  0.00580022  0.02063478 -0.03087575  0.01888832]"
首歌,"[-0.02822922  0.02796183 -0.04677335 -0.04290801 -0.00094616 -0.01573044
  0.02589372 -0.016906   -0.02423926 -0.01480357]"
去世,"[ 0.04317354  0.02670021 -0.01237043 -0.00605814  0.01572908 -0.04424589
  0.01705406 -0.02241878 -0.03329466 -0.00416817]"
多少,"[ 0.04225864 -0.03652781 -0.03595065  0.03982409 -0.0270121  -0.03098242
 -0.00448657 -0.03118617 -0.01589913  0.03870204]"
但求,"[ 0.00704461  0.04631982 -0.04194635 -0.0013573  -0.04224418  0.04451029
 -0.03728737 -0.01810887  0.04737937 -0.00906531]"
歌词,"[-0.03472861 -0.04696204 -0.03634113  0.01719971 -0.02223086 -0.00100978
 -0.03756579  0.04208711 -0.03713074 -0.01326294]"
一个,"[ 0.00629864 -0.0241205   0.00691647 -0.0348014   0.04379286  0.03833177
 -0.01711213 -0.03906446  0.00319123 -0.00911691]"
倒霉,"[-0.03477288 -0.01998471  0.04333287 -0.0280385   0.03950269  0.00544528
 -0.03143937  0.01666909 -0.04676868  0.03251865]"
分开,"[-0.00366125  0.03805703  0.01064209  0.03523835 -0.01715639  0.02861334
 -0.00551854  0.03964135 -0.03110657  0.02159201]"
也好,"[ 0.03176738  0.00458448 -0.00965375  0.00261169 -0.02399345 -0.00591336
 -0.02409239  0.01540086 -0.00230048  0.00212312]"
一日,"[-0.0506855   0.02612054 -0.01121732  0.00650526 -0.00681393 -0.00239264
  0.01505071  0.01959958  0.03692916 -0.00015107]"
半年,"[ 0.01674482  0.02021027  0.0015905  -0.00714849 -0.0123004  -0.0114227
  0.0112178  -0.03081604 -0.00623792 -0.03539313]"
敢爱敢恨,"[ 0.03272095 -0.03257348  0.01634528 -0.04099653  0.03704523 -0.00391243
  0.03554793 -0.01978699 -0.04836107 -0.02800821]"
爱火,"[ 0.00666393  0.00574215 -0.04387648  0.00012224 -0.02268211 -0.0417519
  0.01161027 -0.01039177  0.03675045  0.002871  ]"
记得,"[ 0.02390466 -0.00761479 -0.04064948  0.00255645  0.0385225  -0.02317762
 -0.04315801 -0.04586569  0.04635271  0.0162882 ]"
吴清源,"[-0.03480745  0.00951666  0.01946499 -0.00165141 -0.04377934 -0.03851915
 -0.03954952  0.01585901 -0.04197379  0.02176047]"
永远,"[-0.00667966 -0.04220529  0.0315672   0.02501395  0.02793347 -0.02912949
 -0.01436034 -0.01351514 -0.04736919 -0.02849212]"
一种,"[-0.03498516  0.01865662  0.02793555  0.03961054 -0.03660309  0.0150651
  0.03811329  0.00554254 -0.04573832  0.03959065]"
单曲,"[-0.02240865 -0.01846092 -0.00820402 -0.00745804 -0.0231422  -0.04749542
  0.02920464  0.00323349 -0.01908469  0.02328516]"
不知羞耻,"[ 0.04075672 -0.01554603  0.04097842 -0.03975446 -0.02643423  0.04737379
 -0.02195333  0.03034195  0.03281859  0.03807299]"
莫文蔚,"[ 0.00410308 -0.00673228 -0.03634604  0.02934272  0.0395567  -0.0270189
 -0.00209453  0.00863861  0.00604783 -0.00133075]"
基佬,"[-0.03669017  0.01982078  0.03939511  0.0167141   0.01130878 -0.03009629
 -0.0258898  -0.01181532  0.02532305 -0.02097165]"
度過,"[-0.0046403   0.0477023  -0.01614974 -0.01387498  0.01020532  0.01911378
 -0.03154701  0.01671812  0.03271452 -0.00660119]"
娈童案,"[ 0.02179134 -0.04832698  0.03030287 -0.02305563  0.03044122 -0.03494355
  0.03501367 -0.03391466 -0.01693443 -0.01523999]"
我唱給,"[-0.01877863 -0.00359176  0.02918909 -0.02381602 -0.00770219 -0.03278097
  0.04577506 -0.03966236 -0.01054923  0.01682145]"
泪目,"[-0.03529791 -0.02658738 -0.02794253  0.01524986  0.00149693  0.04309741
 -0.04451703  0.02627096  0.04703812  0.03777191]"
cd,"[ 0.04383719 -0.02979124 -0.0425799  -0.04246787  0.01729716 -0.01204477
 -0.03255892 -0.04754899  0.03318623  0.01646951]"
泪点,"[ 0.01186629 -0.00977665 -0.01975828 -0.02863564 -0.02940523  0.00785705
 -0.00123893  0.0244807  -0.03476602  0.03164193]"
烂牌,"[-0.03951143  0.03834517 -0.01194101 -0.01460802 -0.00491501 -0.03232237
 -0.04459665 -0.00188849  0.00347824  0.0182771 ]"
爱情专一,"[-0.01550927  0.01694541 -0.02104454 -0.00703813 -0.01989307  0.01734009
 -0.01632816 -0.0407247   0.03270987  0.04094172]"
必唱,"[-0.03844717 -0.04824925  0.04446823 -0.0396763  -0.02462754 -0.00252019
 -0.00846139  0.04411005  0.00092219  0.03075969]"
uncle,"[ 0.02279887  0.00460601 -0.02101829  0.01805728  0.01023162  0.03693184
 -0.04279215 -0.04531998 -0.04479836 -0.0379225 ]"
