keyword,vector
好好,[0.09855677]
首歌,[-0.28030482]
拼音,[0.14226359]
舍得,[0.2045339]
真心,[-0.0057568]
男团,[0.24513052]
云村,[0.45444843]
曲中人,[0.3426211]
shuimian,[0.04367374]
allstar,[-0.0653284]
shimian,[0.2507896]
因有,[0.34049627]
阿桑,[0.38786867]
推有,[-0.33774117]
还是,[-0.02953096]
如果,[0.36078897]
初识,[0.3971401]
有缘分,[0.05496253]
真的,[-0.11373276]
天梯,[-0.03874891]
原版,[-0.38498044]
离开,[0.01457674]
什么,[0.4810213]
一首歌,[0.0211309]
信息,[-0.45085117]
打球,[-0.07200608]
我爱你,[0.41773307]
错失,[-0.44069615]
中意,[-0.07159387]
前奏,[-0.3772086]
按计划,[-0.4090124]
一大块,[0.22513616]
有幸,[0.20329235]
异地,[0.00604079]
陌生人,[0.32251623]
这首,[-0.40030545]
两三年,[0.09366625]
放手,[-0.37542382]
时候,[-0.32412288]
爱心,[-0.06301179]
失眠,[-0.12156544]
人去,[0.35959816]
近几年,[-0.35123956]
分手,[0.31413653]
总有,[0.23872183]
睡眠,[0.03914]
遇见,[0.15005238]
美好,[0.19346981]
安静,[-0.35266778]
好多,[0.49115688]
电脑,[0.26925933]
早上,[0.44501913]
日常,[0.21540463]
睡觉,[-0.2616231]
评论,[-0.33489394]
当初,[0.44320413]
期待,[0.4882062]
过于,[0.16236214]
太多,[0.32852498]
熟悉,[-0.13123237]
吃饭,[-0.44608197]
竟然,[0.25364497]
晚上,[-0.20745365]
香港,[0.17620218]
喜欢,[0.3309362]
认识,[-0.44667336]
一个,[0.05863675]
好像,[0.22540367]
说明,[-0.16213852]
终于,[0.05728249]
结束,[-0.0603363]
希望,[0.31642815]
其实,[0.32862896]
心里,[0.4083465]
不知,[0.3016224]
突然,[0.41684374]
不要,[0.04850054]
一起,[-0.36468947]
看到,[-0.07488351]
比较,[-0.40272507]
那么,[-0.08484651]
存在,[-0.38816592]
一直,[0.07891057]
发现,[-0.33090803]
只是,[0.324085]
出来,[0.3747455]
不同,[0.00664821]
工作,[0.22238922]
一定,[0.28711605]
因为,[0.12777455]
不能,[0.08086893]
影响,[0.21607928]
起来,[-0.21444277]
就是,[-0.270277]
他们,[-0.28227532]
我们,[-0.30739892]
没有,[0.45450813]
